"gene","logP"
"1700009P17Rik",NA
"1700010I14Rik",-7.26458988528116
"1700010K23Rik",-0.152486590171472
"1700010K24Rik",-0.326300516737519
"1700010L04Rik",-0.326235525078044
"1700010M22Rik",-0.827182667416696
"1700011E24Rik",NA
"1700011F03Rik",NA
"1700011F14Rik",-1.37104905427639
"1700011H14Rik",NA
"1700011J10Rik",-6.19222837986679
"1700011L22Rik",NA
"1700011M02Rik",NA
"1700012A16Rik",-0.981041532060077
"1700012B09Rik",-0.326210894471764
"1700012B15Rik",-0.930012757218008
"1700012C14Rik",0
"1700013F07Rik",-0.205955064817258
"1700013G23Rik",-18.9896276962988
"1700013N18Rik",-0.560169670138368
"1700014D04Rik",-7.03916154831943
"1700015E13Rik",NA
"1700015F17Rik",NA
"1700015O11Rik",NA
"1700016C15Rik",0
"1700016G14Rik",-0.65761167224844
"1700016H13Rik",NA
"1700016K19Rik",-0.985488313111799
"1700016M24Rik",NA
"1700016P03Rik",-1.9764672380903
"1700017B05Rik",-2.48782057782195
"1700017D01Rik",NA
"1700017G19Rik",-0.326285781877918
"1700017N19Rik",NA
"1700018A14Rik",NA
"1700018B08Rik",-0.326300516737519
"1700018L24Rik",-11.9554785472613
"1700018M17Rik",NA
"1700019A02Rik",-13.1831440522975
"1700019B03Rik",-0.971725240007548
"1700019D03Rik",-29.2860100987851
"1700019E19Rik",-0.50719815965386
"1700019G17Rik",-0.518549711107457
"1700019G24Rik",-12.4847681400468
"1700019L03Rik",-1.58426693287162
"1700019N12Rik",-0.564405321904725
"1700019N19Rik",-0.827265906556223
"1700020A23Rik",NA
"1700020C07Rik",-0.326301520344794
"1700020I14Rik",-1.02753207158509
"1700020L24Rik",NA
"1700020O03Rik",-1.97222216661517
"1700021C14Rik",-1.07747411748352
"1700021F05Rik",-7.20588439686308
"1700021J08Rik",NA
"1700021K19Rik",-5.83045808003198
"1700021N21Rik",NA
"1700021O21Rik",-1.68075436630214
"1700022I11Rik",-1.41901862568554
"1700022K14Rik",-0.715590720193825
"1700022N22Rik",-18.4302462205567
"1700022P22Rik",-0.102755098831653
"1700023A16Rik",NA
"1700023E05Rik",-35.6354920147609
"1700023F06Rik",-1.29558164099012
"1700023H06Rik",-1.11615808718298
"1700023L04Rik",0
"1700024N20Rik",-10.026073352039
"1700024P03Rik",-20.1593501242569
"1700024P16Rik",-1.8348647501562
"1700025E21Rik",NA
"1700025G04Rik",-55.690445543162
"1700025K23Rik",-0.656770247856046
"1700025N21Rik",-3.35009553669995
"1700026D08Rik",-8.2644316754593
"1700026D11Rik",NA
"1700026J04Rik",-0.213078616439413
"1700026J14Rik",-0.504153923262639
"1700026L06Rik",NA
"1700027A07Rik",NA
"1700027A23Rik",-0.626868597058734
"1700028E10Rik",-21.2975756751064
"1700028J19Rik",-0.395796109375219
"1700028K03Rik",-2.57871105739463
"1700028P14Rik",-1.1296391812347
"1700029F09Rik",-0.960944574371344
"1700029G01Rik",-0.326198757276689
"1700029H14Rik",-1.05247400300435
"1700029I01Rik",-8.9883188024339
"1700029I15Rik",-0.773164484900218
"1700029J07Rik",-0.573009784328559
"1700029J11Rik",NA
"1700029P11Rik",-0.827182667416696
"1700030A11Rik",-0.326300516737519
"1700030C10Rik",-4.95181567151196
"1700030C12Rik",-0.326301184064448
"1700030C14Rik",NA
"1700030F18Rik",0
"1700030J22Rik",-3.43002488676635
"1700030K09Rik",-1.8032489485676
"1700031A10Rik",NA
"1700031F05Rik",NA
"1700034F02Rik",-10.0641161369912
"1700034H14Rik",-0.200849001518023
"1700034H15Rik",-0.666810266873349
"1700034I23Rik",-0.236621116057484
"1700034J05Rik",-25.0927308423435
"1700034P13Rik",-0.296949105572172
"1700036A12Rik",-8.78215646715039
"1700037C18Rik",-0.675144331192895
"1700037H04Rik",-3.9709777320292
"1700039E22Rik",-0.0647916638987019
"1700039M10Rik",-1.43874916297195
"1700040D17Rik",-0.570597116199767
"1700040I03Rik",-3.12795123127221
"1700040L02Rik",-1.32784566807784
"1700041G16Rik",-0.827182667416696
"1700042O10Rik",NA
"1700045I19Rik",-0.752180439845488
"1700047A11Rik",-0.166718369734187
"1700047G07Rik",-0.726965213948509
"1700047K16Rik",-13.270571048699
"1700048O20Rik",-12.2212745378604
"1700049E15Rik",NA
"1700049G17Rik",-0.0813448083423623
"1700049J03Rik",NA
"1700052N19Rik",-0.292434737241467
"1700054M17Rik",-4.57348242158122
"1700054N08Rik",-6.73982789033571
"1700054O19Rik",-0.858598630779402
"1700055D18Rik",-8.02569317952004
"1700056E22Rik",NA
"1700056N10Rik",-0.353607742926982
"1700057H21Rik",0
"1700057K13Rik",-1.31764438233703
"1700058G18Rik",-1.41393822781978
"1700060J05Rik",-0.320523298019006
"1700061E18Rik",NA
