"gene","logP"
"0610007P14Rik",-4.48264586350373e-05
"0610009B22Rik",-4.48264586350373e-05
"0610009L18Rik",-4.48264586350373e-05
"0610009O20Rik",-4.48264586350373e-05
"0610010F05Rik",-4.48264586350373e-05
"0610010K14Rik",-4.48264586350373e-05
"0610012G03Rik",-4.48264586350373e-05
"0610030E20Rik",-4.48264586350373e-05
"0610037L13Rik",-4.48264586350373e-05
"0610040J01Rik",-4.48264586350373e-05
"1110002E22Rik",-4.48264586350373e-05
"1110004E09Rik",-4.48264586350373e-05
"1110004F10Rik",-4.48264586350373e-05
"1110008F13Rik",-4.48264586350373e-05
"1110008L16Rik",-4.48264586350373e-05
"1110008P14Rik",-4.48264586350373e-05
"1110012L19Rik",-4.48264586350373e-05
"1110017D15Rik",-4.48264586350373e-05
"1110032A03Rik",-4.48264586350373e-05
"1110032F04Rik",-4.48264586350373e-05
"1110034G24Rik",-4.48264586350373e-05
"1110037F02Rik",-4.48264586350373e-05
"1110038F14Rik",-4.48264586350373e-05
"1110051M20Rik",-4.48264586350373e-05
"1110059E24Rik",-4.48264586350373e-05
"1110059G10Rik",-4.48264586350373e-05
"1110065P20Rik",-4.48264586350373e-05
"1190002N15Rik",-4.48264586350373e-05
"1190005I06Rik",-4.48264586350373e-05
"1190007I07Rik",-4.48264586350373e-05
"1500009C09Rik",-4.48264586350373e-05
"1500009L16Rik",-4.48264586350373e-05
"1500011B03Rik",-4.48264586350373e-05
"1500011K16Rik",-4.48264586350373e-05
"1500015O10Rik",-4.48264586350373e-05
"1520401A03Rik",-4.48264586350373e-05
"1600002H07Rik",-4.48264586350373e-05
"1600002K03Rik",-4.48264586350373e-05
"1600012H06Rik",-4.48264586350373e-05
"1600014C10Rik",-4.48264586350373e-05
"1700001C19Rik",-4.48264586350373e-05
"1700001J03Rik",-4.48264586350373e-05
"1700001K19Rik",-4.48264586350373e-05
"1700001L19Rik",-4.48264586350373e-05
"1700001O22Rik",-4.48264586350373e-05
"1700003E16Rik",-4.48264586350373e-05
"1700003F12Rik",-4.48264586350373e-05
"1700006E09Rik",-4.48264586350373e-05
"1700007K09Rik",-4.48264586350373e-05
"1700007K13Rik",-4.48264586350373e-05
"1700008O03Rik",-4.48264586350373e-05
"1700010I14Rik",-4.48264586350373e-05
"1700011M02Rik",-4.48264586350373e-05
"1700013D24Rik",-4.48264586350373e-05
"1700013F07Rik",-4.48264586350373e-05
"1700014D04Rik",-4.48264586350373e-05
"1700015E13Rik",-4.48264586350373e-05
"1700016D06Rik",-4.48264586350373e-05
"1700017B05Rik",-4.48264586350373e-05
"1700019D03Rik",-4.48264586350373e-05
"1700020D05Rik",-4.48264586350373e-05
"1700021F05Rik",-4.48264586350373e-05
"1700023F06Rik",-4.48264586350373e-05
"1700025G04Rik",-4.48264586350373e-05
"1700027J19Rik",-4.48264586350373e-05
"1700028J19Rik",-0.0891892980805751
"1700028P14Rik",-4.48264586350373e-05
"1700029F12Rik",-4.48264586350373e-05
"1700029I15Rik",-4.48264586350373e-05
"1700029J07Rik",-4.48264586350373e-05
"1700030J22Rik",-4.48264586350373e-05
"1700030K09Rik",-4.48264586350373e-05
"1700034I23Rik",-4.48264586350373e-05
"1700034J05Rik",-4.48264586350373e-05
"1700037C18Rik",-4.48264586350373e-05
"1700037H04Rik",-4.48264586350373e-05
"1700040L02Rik",-4.48264586350373e-05
"1700047I17Rik2",-4.48264586350373e-05
"1700048O20Rik",-4.48264586350373e-05
"1700061G19Rik",-4.48264586350373e-05
"1700064H15Rik",-4.48264586350373e-05
"1700066B19Rik",-4.48264586350373e-05
"1700066M21Rik",-4.48264586350373e-05
"1700067K01Rik",-4.48264586350373e-05
"1700088E04Rik",-4.48264586350373e-05
"1700092M07Rik",-4.48264586350373e-05
"1700093K21Rik",-4.48264586350373e-05
"1700102P08Rik",-4.48264586350373e-05
"1700109H08Rik",-4.48264586350373e-05
"1700123L14Rik",-4.48264586350373e-05
"1700123O20Rik",-1.00965270959243
"1700128F08Rik",-0.0187129889807815
"1810009A15Rik",-4.48264586350373e-05
"1810010H24Rik",-4.48264586350373e-05
"1810013L24Rik",-4.48264586350373e-05
"1810022K09Rik",-4.48264586350373e-05
"1810024B03Rik",-4.48264586350373e-05
"1810026J23Rik",-4.48264586350373e-05
"1810030O07Rik",-4.48264586350373e-05
"1810032O08Rik",-4.48264586350373e-05
"1810037I17Rik",-4.48264586350373e-05
"1810041L15Rik",-4.48264586350373e-05
"1810043G02Rik",-4.48264586350373e-05
"1810043H04Rik",-4.48264586350373e-05
"1810049J17Rik",-4.48264586350373e-05
"1810055G02Rik",-4.48264586350373e-05
"2010107E04Rik",-4.48264586350373e-05
"2010107G23Rik",-4.48264586350373e-05
"2010109I03Rik",-4.48264586350373e-05
"2010111I01Rik",-4.48264586350373e-05
"2010300C02Rik",-4.48264586350373e-05
"2010315B03Rik",-4.48264586350373e-05
"2200002D01Rik",-4.48264586350373e-05
"2210010C04Rik",-4.48264586350373e-05
"2210013O21Rik",-4.48264586350373e-05
"2210016F16Rik",-4.48264586350373e-05
"2210016L21Rik",-4.48264586350373e-05
"2210017I01Rik",-4.48264586350373e-05
"2210408I21Rik",-4.48264586350373e-05
"2210418O10Rik",-4.48264586350373e-05
"2300009A05Rik",-0.166040115672269
"2310009B15Rik",-0.0501944873110349
"2310011J03Rik",-1.00965270959243
"2310022A10Rik",-4.48264586350373e-05
"2310022B05Rik",-4.48264586350373e-05
"2310030G06Rik",-4.48264586350373e-05
"2310033P09Rik",-1.00965270959243
"2310035C23Rik",-4.48264586350373e-05
"2310036O22Rik",-4.48264586350373e-05
"2310039H08Rik",-4.48264586350373e-05
"2310057J18Rik",-4.48264586350373e-05
"2310057M21Rik",-4.48264586350373e-05
"2310061I04Rik",-4.48264586350373e-05
"2410002F23Rik",-4.48264586350373e-05
"2410004B18Rik",-4.48264586350373e-05
"2410004P03Rik",-4.48264586350373e-05
"2410015M20Rik",-4.48264586350373e-05
"2410016O06Rik",-0.134633030755629
"2410089E03Rik",-4.48264586350373e-05
"2410131K14Rik",-4.48264586350373e-05
"2510002D24Rik",-4.48264586350373e-05
"2510009E07Rik",-4.48264586350373e-05
"2510039O18Rik",-4.48264586350373e-05
"2610001J05Rik",-4.48264586350373e-05
"2610002M06Rik",-0.0832855660387547
"2610008E11Rik",-4.48264586350373e-05
"2610021A01Rik",-4.48264586350373e-05
"2610042L04Rik",-4.48264586350373e-05
"2610044O15Rik8",-4.48264586350373e-05
"2610301B20Rik",-4.48264586350373e-05
"2610318N02Rik",-4.48264586350373e-05
"2610507B11Rik",-4.48264586350373e-05
"2610524H06Rik",-4.48264586350373e-05
"2610528A11Rik",-4.48264586350373e-05
"2700049A03Rik",-4.48264586350373e-05
"2700060E02Rik",-4.48264586350373e-05
"2700062C07Rik",-0.853113751334029
"2700081O15Rik",-0.0244604479308229
"2700094K13Rik",-4.48264586350373e-05
"2700097O09Rik",-4.48264586350373e-05
"2810004N23Rik",-0.894979131490867
"2810006K23Rik",-4.48264586350373e-05
"2810021J22Rik",-4.48264586350373e-05
"2810403A07Rik",-4.48264586350373e-05
"2810417H13Rik",-4.48264586350373e-05
"2810428I15Rik",-4.48264586350373e-05
"2810459M11Rik",-4.48264586350373e-05
"2810474O19Rik",-4.48264586350373e-05
"2900011O08Rik",-4.48264586350373e-05
"2900026A02Rik",-4.48264586350373e-05
"2900055J20Rik",-4.48264586350373e-05
"3010026O09Rik",-4.48264586350373e-05
"3100002H09Rik",-4.48264586350373e-05
"3110001I22Rik",-4.48264586350373e-05
"3110002H16Rik",-4.48264586350373e-05
"3110009E18Rik",-4.48264586350373e-05
"3110021N24Rik",-4.48264586350373e-05
"3110035E14Rik",-4.48264586350373e-05
"3110040N11Rik",-4.48264586350373e-05
"3110043O21Rik",-4.48264586350373e-05
"3110062M04Rik",-4.48264586350373e-05
"3110070M22Rik",-4.48264586350373e-05
"3110082I17Rik",-4.48264586350373e-05
"3110082J24Rik",-4.48264586350373e-05
"3300002I08Rik",-4.48264586350373e-05
"3425401B19Rik",-4.48264586350373e-05
"3632451O06Rik",-4.48264586350373e-05
"3830406C13Rik",-4.48264586350373e-05
"3830408C21Rik",-4.48264586350373e-05
"4430402I18Rik",-4.48264586350373e-05
"4833420G17Rik",-4.48264586350373e-05
"4833439L19Rik",-4.48264586350373e-05
"4921507P07Rik",-4.48264586350373e-05
"4921513D11Rik",-4.48264586350373e-05
"4921513I03Rik",-4.48264586350373e-05
"4921524J17Rik",-0.499207682323493
"4921536K21Rik",-4.48264586350373e-05
"4930402H24Rik",-4.48264586350373e-05
"4930404N11Rik",-4.48264586350373e-05
"4930426L09Rik",-4.48264586350373e-05
"4930427A07Rik",-4.48264586350373e-05
"4930430F08Rik",-4.48264586350373e-05
"4930432K21Rik",-4.48264586350373e-05
"4930444G20Rik",-4.48264586350373e-05
"4930444P10Rik",-4.48264586350373e-05
"4930447C04Rik",-4.48264586350373e-05
"4930451G09Rik",-4.48264586350373e-05
"4930452B06Rik",-4.48264586350373e-05
"4930453N24Rik",-4.48264586350373e-05
"4930467E23Rik",-4.48264586350373e-05
"4930470P17Rik",-4.48264586350373e-05
"4930474N05Rik",-4.48264586350373e-05
"4930503L19Rik",-4.48264586350373e-05
"4930507D05Rik",-4.48264586350373e-05
"4930512M02Rik",-4.48264586350373e-05
"4930518I15Rik",-4.48264586350373e-05
"4930519P11Rik",-4.48264586350373e-05
"4930522L14Rik",-4.48264586350373e-05
"4930524B15Rik",-4.48264586350373e-05
"4930524J08Rik",-4.48264586350373e-05
"4930538K18Rik",-4.48264586350373e-05
"4930539E08Rik",-4.48264586350373e-05
"4930556J24Rik",-4.48264586350373e-05
"4930562C15Rik",-4.48264586350373e-05
"4930563I02Rik",-4.48264586350373e-05
"4930563M21Rik",-4.48264586350373e-05
"4930578G10Rik",-4.48264586350373e-05
"4930579G24Rik",-4.48264586350373e-05
"4931406B18Rik",-4.48264586350373e-05
"4931406C07Rik",-4.48264586350373e-05
"4931406P16Rik",-4.48264586350373e-05
"4931414P19Rik",-4.48264586350373e-05
"4931422A03Rik",-4.48264586350373e-05
"4931423N10Rik",-4.48264586350373e-05
"4931428F04Rik",-4.48264586350373e-05
"4931428L18Rik",-4.48264586350373e-05
"4931429L15Rik",-4.48264586350373e-05
"4931440F15Rik",-4.48264586350373e-05
"4932411N23Rik",-4.48264586350373e-05
"4932414N04Rik",-4.48264586350373e-05
"4932438A13Rik",-0.0832855660387547
"4932438H23Rik",-4.48264586350373e-05
"4932443I19Rik",-4.48264586350373e-05
"4933402D24Rik",-4.48264586350373e-05
"4933405L10Rik",-4.48264586350373e-05
"4933407L21Rik",-4.48264586350373e-05
"4933408B17Rik",-4.48264586350373e-05
"4933408J17Rik",-4.48264586350373e-05
"4933411K16Rik",-4.48264586350373e-05
"4933414I15Rik",-4.48264586350373e-05
"4933415A04Rik",-4.48264586350373e-05
