"gene","PresAbs"
"4933402N03Rik",1
"4933405L10Rik",1
"4933406M09Rik",1
"4933406P04Rik",1
"4933407L21Rik",1
"4933408B17Rik",1
"4933408J17Rik",1
"4933411K16Rik",1
"4933413G19Rik",1
"4933415A04Rik",1
"4933424G06Rik",1
"4933425L06Rik",1
"4933427D14Rik",1
"4933427I04Rik",1
"4933428G20Rik",1
"4933430I17Rik",1
"4933434E20Rik",1
"5031414D18Rik",1
"5031439G07Rik",1
"5330417C22Rik",1
"5430403G16Rik",1
"5430416O09Rik",1
"5430427O19Rik",1
"5730409E04Rik",1
"5730455P16Rik",1
"5730480H06Rik",1
"5730507C01Rik",1
"5730508B09Rik",1
"5730522E02Rik",1
"5730559C18Rik",1
"5830411N06Rik",1
"5830454E08Rik",1
"5930422O12Rik",1
"6030419C18Rik",1
"6030445D17Rik",1
"6030458C11Rik",1
"6030468B19Rik",1
"6330408A02Rik",1
"6330409D20Rik",1
"6430531B16Rik",1
"6430548M08Rik",1
"6430550D23Rik",1
"6430571L13Rik",1
"6430573F11Rik",1
"6720489N17Rik",1
"6820408C15Rik",1
"7530416G11Rik",1
"8030462N17Rik",1
"8430408G22Rik",1
"9030612E09Rik",1
"9030617O03Rik",1
"9030624G23Rik",1
"9030624J02Rik",1
"9130008F23Rik",1
"9130011E15Rik",1
"9130019O22Rik",1
"9130023H24Rik",1
"9130213A22Rik",1
"9130401M01Rik",1
"9130409I23Rik",1
"9230019H11Rik",1
"9230104M06Rik",1
"9230109A22Rik",1
"9230110C19Rik",1
"9330151L19Rik",1
"9330159F19Rik",1
"9330161L09Rik",1
"9330182L06Rik",1
"9430015G10Rik",1
"9430016H08Rik",1
"9430020K01Rik",1
"9430038I01Rik",1
"9430076C15Rik",1
"9430097D07Rik",1
"9530003J23Rik",1
"9530068E07Rik",1
"9530077C05Rik",1
"9830107B12Rik",1
"9930012K11Rik",1
"9930021J03Rik",1
"9930022D16Rik",1
"9930111J21Rik1",1
"9930111J21Rik2",1
"A130010J15Rik",1
"A130051J06Rik",1
"A230046K03Rik",1
"A230050P20Rik",1
"A230065H16Rik",1
"A2m",1
"A330017A19Rik",1
"A330070K13Rik",1
"A3galt2",1
"A430005L14Rik",1
"A430033K04Rik",1
"A430078G23Rik",1
"A430105I19Rik",1
"A4galt",1
"A530016L24Rik",1
"A530064D06Rik",1
"A530084C06Rik",1
"A530099J19Rik",1
"A630001G21Rik",1
"A630010A05Rik",1
"A730015C16Rik",1
"A730017C20Rik",1
"A730046J19Rik",1
"A730049H05Rik",1
"A730061H03Rik",1
"A830005F24Rik",1
"A830010M20Rik",1
"A830018L16Rik",1
"A830031A19Rik",1
"A830080D01Rik",1
"A930004D18Rik",1
"A930009A15Rik",1
"A930011G23Rik",1
"A930017K11Rik",1
"A930018M24Rik",1
"A930033H14Rik",1
"AA415398",1
"AA986860",1
"Aaas",1
"Aacs",1
"Aaed1",1
"Aagab",1
"Aak1",1
"Aamdc",1
"Aamp",1
"Aanat",1
"Aar2",1
"Aard",1
"Aars",1
"Aars2",1
"Aarsd1",1
"Aasdh",1
"Aasdhppt",1
"Aass",1
"Aatf",1
"Aatk",1
"Abat",1
"Abca1",1
"Abca12",1
"Abca14",1
"Abca17",1
"Abca2",1
"Abca3",1
"Abca4",1
"Abca5",1
"Abca6",1
"Abca7",1
"Abca8a",1
"Abca8b",1
"Abca9",1
"Abcb10",1
"Abcb1a",1
"Abcb1b",1
"Abcb4",1
"Abcb6",1
"Abcb7",1
"Abcb8",1
"Abcb9",1
"Abcc1",1
"Abcc10",1
"Abcc2",1
"Abcc3",1
"Abcc4",1
"Abcc5",1
"Abcc6",1
"Abcc8",1
"Abcc9",1
"Abcd1",1
"Abcd2",1
"Abcd3",1
"Abcd4",1
"Abce1",1
"Abcf1",1
"Abcf2",1
"Abcf3",1
"Abcg1",1
"Abcg2",1
"Abcg4",1
"Abhd10",1
"Abhd11",1
"Abhd12",1
"Abhd12b",1
"Abhd13",1
"Abhd14a",1
"Abhd14b",1
"Abhd15",1
"Abhd16a",1
"Abhd17a",1
"Abhd17b",1
"Abhd17c",1
"Abhd18",1
"Abhd2",1
"Abhd3",1
"Abhd4",1
"Abhd5",1
"Abhd6",1
"Abhd8",1
"Abi1",1
"Abi2",1
"Abi3",1
"Abi3bp",1
"Abl1",1
"Abl2",1
"Ablim1",1
"Ablim2",1
"Ablim3",1
"Abr",1
"Abracl",1
"Abt1",1
"Abtb1",1
"Abtb2",1
"AC139131.1",1
"Acaa1a",1
"Acaa1b",1
"Acaa2",1
"Acaca",1
"Acacb",1
"Acad10",1
"Acad11",1
"Acad12",1
"Acad8",1
"Acad9",1
"Acadl",1
"Acadm",1
"Acads",1
"Acadsb",1
"Acadvl",1
"Acan",1
"Acap1",1
"Acap2",1
"Acap3",1
"Acat1",1
"Acat2",1
"Acat3",1
"Acbd3",1
"Acbd4",1
"Acbd5",1
"Acbd6",1
"Acbd7",1
"Accs",1
"Acd",1
"Ace",1
"Ace2",1
"Acer1",1
"Acer2",1
"Acer3",1
"Ache",1
"Acin1",1
"Ackr1",1
"Ackr2",1
"Ackr3",1
"Ackr4",1
"Acly",1
"Acmsd",1
"Aco1",1
"Aco2",1
"Acod1",1
"Acot1",1
"Acot10",1
"Acot11",1
"Acot12",1
"Acot13",1
"Acot2",1
"Acot3",1
"Acot4",1
"Acot5",1
"Acot6",1
"Acot7",1
"Acot8",1
"Acot9",1
"Acox1",1
"Acox3",1
"Acoxl",1
"Acp1",1
"Acp2",1
"Acp6",1
"Acr",1
"Acrbp",1
"Acsbg1",1
"Acsbg2",1
"Acsf2",1
"Acsf3",1
"Acsl1",1
"Acsl3",1
"Acsl4",1
"Acsl5",1
"Acsl6",1
"Acsm2",1
"Acsm3",1
"Acss1",1
"Acss2",1
"Acss3",1
"Acta1",1
"Acta2",1
"Actb",1
"Actg1",1
"Actl10",1
"Actl6a",1
"Actl6b",1
"Actl7a",1
"Actl7b",1
"Actl9",1
"Actn1",1
"Actn2",1
"Actn3",1
"Actn4",1
"Actr10",1
"Actr1a",1
"Actr1b",1
