"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","logP"
"0610007P14Rik","25.4047049259031","0.166733733784246","0.820567535239134","0.838984036653636","0.970197857088326","0.1"
"0610009B22Rik","14.7976835365718","0.126394158865637","1.13736289503115","0.911513942538918","0.984075125764672","0"
"0610009L18Rik","1.38930642893635","-1.25789528601518","2.68949747471166","0.639994535951045",NA,"0.2"
"0610009O20Rik","23.4813869558101","1.380247175705","0.986090169115126","0.161598080254451","0.649018961406129","0.8"
"0610010F05Rik","44.199070820598","-1.04748629260212","0.878516396864194","0.233129717688417","0.721751193097324","0.6"
"0610010K14Rik","10.3260204511876","3.20221957615732","1.35986472084323","0.0185323058276111","0.318400632890518","1.7"
"0610012G03Rik","32.8739931578397","0.564708695916624","0.791492082905704","0.475552751425818","0.861628975765681","0.3"
"0610030E20Rik","24.894784731074","1.05404238844359","0.93423061498689","0.259215845800091","0.741866310560084","0.6"
"0610037L13Rik","31.0466195479624","1.49338569739605","0.992218868154975","0.132299125796609","0.615022500828077","0.9"
"0610040J01Rik","2.24858408960283","0.148501127916835","2.96164572369375","0.960009691286454",NA,"0"
"1110002E22Rik","3.91635918915747","2.9577912855353","2.26481968923531","0.191562051671756",NA,"0.7"
"1110004E09Rik","15.586648887724","1.9296925549843","0.986860170495033","0.0505375280639022","0.460890082294485","1.3"
"1110004F10Rik","63.973319156863","-0.28034027062061","0.558139757419959","0.615473306056225","0.912959869752044","0.2"
"1110008F13Rik","51.9514429055609","-0.502783922933391","0.762058030228363","0.509400682982577","0.874913779681925","0.3"
"1110008L16Rik","3.21816416258902","0.0197842887752916","1.86046520206865","0.991515411826021",NA,"0"
"1110008P14Rik","49.2289574050631","0.523989030876136","0.728179912949964","0.471779122402184","0.860456135475725","0.3"
"1110012L19Rik","3.64851746659638","-1.75385252640031","1.91656998304843","0.360139317147682",NA,"0.4"
"1110017D15Rik","2.72977130616694","-1.54297573346846","5.09635979078239","0.762072493244095",NA,"0.1"
"1110032A03Rik","8.65634822029955","1.07212643211641","1.39216619669281","0.441232376979193","0.846334617994146","0.4"
"1110032F04Rik","10.2527492725545","0.495925858615446","1.22251389504821","0.684991912418161","0.932467092308028","0.2"
"1110034G24Rik","3.69685427157919","3.10928413869872","2.30036071033131","0.176487086701046",NA,"0.8"
"1110037F02Rik","47.9509955992499","-0.0843914577056993","0.590140009208205","0.886288258913549","0.980330525876863","0.1"
"1110038F14Rik","13.7513116295546","1.21401813476775","1.06775253519332","0.255544744832298","0.738904911121475","0.6"
"1110051M20Rik","111.943183820696","-0.426312052830342","0.64298975633717","0.507320748550591","0.873958037159871","0.3"
"1110059E24Rik","9.40764471731394","0.659781291519887","1.23643227116943","0.593606537281783","0.905705225631196","0.2"
"1110059G10Rik","7.09821170355108","1.16083592700993","1.25485245527881","0.354925531719225","0.806387917900587","0.4"
"1110065P20Rik","32.4944540174849","-0.577043458419887","0.700367479857134","0.40998770565505","0.835301273056169","0.4"
"1190002N15Rik","46.4020552199786","-0.26978626983615","0.748498643354117","0.718520696731802","0.941702939681144","0.1"
"1190005I06Rik","2.00697684042283","-2.12389341277639","2.18732630127551","0.331548375507789",NA,"0.5"
"1190007I07Rik","4.06624149887162","4.03488611093819","1.88070091660817","0.0319195893576858",NA,"1.5"
"1300017J02Rik","0.0682877937378651","-1.54872436222934","5.35722901324975","0.772512073544475",NA,"0.1"
"1500009C09Rik","36.4460640113769","0.235547463048009","0.725687289645529","0.745494916243407","0.949900290832141","0.1"
"1500009L16Rik","8.93180113151886","-0.0942527569091398","1.31354345308899","0.942797220643722","0.989069508006004","0"
"1500011B03Rik","64.2940558761655","0.627898881012236","0.611097227228079","0.304187796346919","0.768804572554629","0.5"
"1500011K16Rik","19.4347187222121","1.652200581948","1.03157260063789","0.109236818380991","0.577371740076776","1"
"1500015O10Rik","0.219821951373712","-1.54862898250118","5.3572322861386","0.772525832834251",NA,"0.1"
"1520401A03Rik","0.196688961161394","-1.54898513167506","5.35721912616928","0.772474416963048",NA,"0.1"
"1600002H07Rik","9.07074907630637","2.31565518172965","1.30317128897946","0.0755783658319952","0.51820274538002","1.1"
"1600002K03Rik","1.5038733952686","1.14316625298631","2.8221770641286","0.685429446079691",NA,"0.2"
"1600012H06Rik","12.5386419277865","0.200204702563762","1.08949280165837","0.854202093276349","0.974053925039363","0.1"
"1600014C10Rik","39.7001827897762","-0.875759167742791","0.941224929788036","0.35214010276462","0.805646253263191","0.5"
"1700001C19Rik","0.323403785999809","-1.55841410196177","4.98562505512393","0.754598643725791",NA,"0.1"
"1700001J03Rik","0.0590155897391206","-0.91495073896089","5.35415107228706","0.864313217309458",NA,"0.1"
"1700001K19Rik","2.59613896580108","-1.03044275185655","2.19072741729312","0.638093857791871",NA,"0.2"
"1700001L19Rik","4.30758244294426","-0.362501779589283","1.58982414939647","0.819635544533542",NA,"0.1"
"1700001O22Rik","3.65836810602275","2.74950534602744","2.02357796953016","0.174230712772265",NA,"0.8"
"1700003E16Rik","14.5633761718816","0.295712001748447","1.22213126908718","0.808807911613037","0.963972770780195","0.1"
"1700003F12Rik","0.951085522817195","-0.885191680310272","4.25133307472583","0.835061030065492",NA,"0.1"
"1700006E09Rik","0.331843168933686","1.54308144602719","5.30842433995396","0.771291939729223",NA,"0.1"
"1700007K09Rik","0.212543275646518","1.13594659284447","5.31325758834615","0.830707116987551",NA,"0.1"
"1700007K13Rik","0.115398665614134","-1.54864534443023","5.35723172480397","0.772523472495729",NA,"0.1"
"1700008O03Rik","3.00903048129548","0.893523036217646","5.31684205046712","0.866539841083913",NA,"0.1"
"1700010I14Rik","0.940590879826902","0.59633485210739","3.20796729720327","0.852529603760139",NA,"0.1"
"1700011M02Rik","0.364050638239117","1.77487250210725","5.30621056187189","0.73801010134388",NA,"0.1"
"1700013D24Rik","0.195495137169691","-1.54867444715739","5.35723072545192","0.772519274161876",NA,"0.1"
"1700013F07Rik","0.444882736054983","0.090703012830573","5.33388279508272","0.986432576686946",NA,"0"
"1700014D04Rik","0.211474310940914","0.0906200216770132","5.33388036170459","0.986444983186429",NA,"0"
"1700015E13Rik","0.229428112292766","-1.54887236336646","5.35722312949527","0.772490690050491",NA,"0.1"
