"","PC1","PC2","PC3","PC4","PC5","PC6","group","Subfield","Treatment","name"
"dg_d_1",-59.7753147840572,6.87219017139692,-5.45877850228815,12.4558247913512,19.367601804578,-4.55451396082849,"DG : dorsal","DG","dorsal","dg_d_1"
"dg_d_2",-63.5890754070568,-0.52312473662413,-20.7359093740901,44.8464909194636,-30.6777697357812,-0.2273932407955,"DG : dorsal","DG","dorsal","dg_d_2"
"dg_d_3",-72.5661426987046,5.6871586385916,-42.1178680626634,-47.8519538890562,-6.18592229411627,0.760057962037828,"DG : dorsal","DG","dorsal","dg_d_3"
"dg_v_1",-37.3323184864439,-2.630300081196,28.8616645657966,-0.0535582766195716,11.8413309346854,4.56081194644574,"DG : ventral","DG","ventral","dg_v_1"
"dg_v_2",-39.1303569381577,-3.05786792487535,29.6233734578449,-0.223952964289723,12.0926415556634,4.97384120566749,"DG : ventral","DG","ventral","dg_v_2"
"dg_v_3",-38.0581547696357,-2.04428230743713,29.7385264408111,0.135118513854467,12.1820081047827,3.74282896443184,"DG : ventral","DG","ventral","dg_v_3"
"ca3_d_1",19.8680778285533,-28.4907358923121,-7.45134550845146,2.67971888172626,5.03347372880522,-8.74983858164572,"CA3 : dorsal","CA3","dorsal","ca3_d_1"
"ca3_d_2",25.669766244393,-35.5943721273379,-17.1211515482967,3.54057436657103,8.33094569523115,-14.171845739437,"CA3 : dorsal","CA3","dorsal","ca3_d_2"
"ca3_d_3",29.6157983354021,-34.3787068824512,-19.1005985093654,5.46528180117442,15.1344480993187,-15.2121048681422,"CA3 : dorsal","CA3","dorsal","ca3_d_3"
"ca3_v_1",20.2834299934898,-19.8953740004595,8.9670158401643,-7.71239931308656,-15.9298280948807,13.7701480842153,"CA3 : ventral","CA3","ventral","ca3_v_1"
"ca3_v_2",21.8863604879719,-22.6663292463537,10.6471621380177,-7.4254238582668,-16.5683263638933,15.4854613256074,"CA3 : ventral","CA3","ventral","ca3_v_2"
"ca3_v_3",27.4042839628547,-25.1917458937821,8.48287768603752,-6.48646896419211,-9.30799470923114,15.2431070235057,"CA3 : ventral","CA3","ventral","ca3_v_3"
"ca1_d_1",35.2857813430055,28.5785229763633,-17.4421056373631,6.80029440443994,9.84543402025322,12.7789264441188,"CA1 : dorsal","CA1","dorsal","ca1_d_1"
"ca1_d_2",34.3046119847925,29.6017200694392,-15.5161660891919,6.30686415583455,8.82666724513521,11.1226873911775,"CA1 : dorsal","CA1","dorsal","ca1_d_2"
"ca1_d_3",35.4341715987015,30.0788932607065,-16.7095655638071,6.82190322300876,9.77212223557655,12.7423590723206,"CA1 : dorsal","CA1","dorsal","ca1_d_3"
"ca1_v_1",19.7019477007367,24.8460737933735,17.2697102210467,-6.70967459978812,-11.0865822919473,-19.142652640383,"CA1 : ventral","CA1","ventral","ca1_v_1"
"ca1_v_2",21.3425926841462,26.0258444684533,12.4889545176454,-5.59957584257148,-9.95764890923779,-16.5061499872712,"CA1 : ventral","CA1","ventral","ca1_v_2"
"ca1_v_3",19.6545409200088,22.7824357145049,15.5742039281531,-6.98906334955362,-12.7126010249417,-16.615730401025,"CA1 : ventral","CA1","ventral","ca1_v_3"
