"","gene","pvalue","lfc","padj","direction"
"5","Asap3",1.30436955950152,3.8923993076868,0.0496169929829146,"DISS"
"66","Itgam",1.30436955950152,1.74683842889386,0.0496169929829146,"DISS"
"73","Lcp1",1.30436955950152,2.73382346455019,0.0496169929829146,"DISS"
"37","Cyp27a1",1.30820148224868,3.58268881275604,0.0491811316711592,"DISS"
"3","Arl4c",1.31048891521346,1.79492907137511,0.0489227751859943,"DISS"
"39","Dhrs3",1.31048891521346,2.94778680848274,0.0489227751859943,"DISS"
"41","Enpp2",1.31048891521346,1.76896644039203,0.0489227751859943,"DISS"
"53","Gpr34",1.31048891521346,2.07930245682351,0.0489227751859943,"DISS"
"94","Ntng1",1.31048891521346,3.08153325956088,0.0489227751859943,"DISS"
"97","P2ry12",1.31048891521346,1.74179100848463,0.0489227751859943,"DISS"
"137","Tlr2",1.31048891521346,2.64624129468133,0.0489227751859943,"DISS"
"109","Rab3il1",1.32083353934684,2.75530277539908,0.0477712340847993,"DISS"
"49","Gatm",1.32397479939298,2.1218349375821,0.0474269504681173,"DISS"
"50","Gjb1",1.32397479939298,4.75885541694845,0.0474269504681173,"DISS"
"105","Pros1",1.32397479939298,2.28938038438848,0.0474269504681173,"DISS"
"7","Bcas1",1.3280144775059,1.69761644390473,0.0469878444622306,"DISS"
"90","Myc",1.34070340129709,2.34646518280854,0.0456348469888484,"DISS"
"88","Msn",1.34243097450984,1.74769723917447,0.0454536774209469,"DISS"
"28","Crtc2",1.35937403305385,1.77965334569545,0.0437145454553794,"DISS"
"52","Gm42878",1.35998677018933,-3.7956022791341,0.0436529129921846,"HOMO"
"69","Kcnj6",1.35998677018933,-2.39206810053944,0.0436529129921846,"HOMO"
"104","Pold1",1.38036850434696,2.22572417877672,0.0416515814564287,"DISS"
"16","Cd274",1.38517088907222,4.23791285232906,0.0411935396131905,"DISS"
"135","Synpr",1.38517088907222,2.30588343792699,0.0411935396131905,"DISS"
"4","Asap1",1.39622536456947,-1.8803156915892,0.0401582367207728,"HOMO"
"106","Prr18",1.4476842725592,2.29241510461324,0.0356710363803168,"DISS"
"113","Scrg1",1.47338980497775,2.63242273108935,0.0336209665852132,"DISS"
"17","Cd37",1.47413269762978,4.1354437284136,0.0335635046096516,"DISS"
"40","Emp2",1.47797373087354,2.34752560945678,0.0332679675447358,"DISS"
"47","Fosb",1.47856164444467,1.58513085636355,0.0332229624666497,"DISS"
"84","Mfng",1.47856164444467,4.04509192166284,0.0332229624666497,"DISS"
"89","mt-Nd3",1.48349190040113,1.69653135869078,0.0328479370391328,"DISS"
"127","Smoc2",1.48593027977368,3.81369789740224,0.032664026573139,"DISS"
"146","Ucp2",1.49324904146944,2.48952294502301,0.0321181822806911,"DISS"
"18","Cd82",1.49443353181997,2.1766649746882,0.0320307028266891,"DISS"
"2","Apod",1.52335025074325,2.04767578048481,0.0299674472306613,"DISS"
"14","Ccl4",1.52335025074325,1.9403110604957,0.0299674472306613,"DISS"
"62","Il1b",1.52335025074325,2.40591380079743,0.0299674472306613,"DISS"
"101","Plekhg3",1.52335025074325,2.6466144189065,0.0299674472306613,"DISS"
"117","Sept4",1.52335025074325,1.84119691482821,0.0299674472306613,"DISS"
"140","Tmem170",1.53241595476101,2.52657708341716,0.0293483740259576,"DISS"
"108","Qdpr",1.54416057458568,1.54909214889833,0.0285653418272777,"DISS"
"122","Slc12a2",1.54416057458568,2.07156005334674,0.0285653418272777,"DISS"
"119","Shroom3",1.55344353018339,6.22751174299474,0.0279612427435986,"DISS"
"76","Lrrc7",1.5635590591905,-1.78025174041836,0.0273174993119139,"HOMO"
"148","Vasp",1.5635590591905,2.31059245354084,0.0273174993119139,"DISS"
"43","Ermn",1.57013995949143,2.52904755116685,0.0269066754642239,"DISS"
"46","Fn1",1.57013995949143,1.77315070459107,0.0269066754642239,"DISS"
"55","Grin2a",1.57013995949143,-1.65956182551397,0.0269066754642239,"HOMO"
"121","Sipa1",1.57013995949143,2.71365121431843,0.0269066754642239,"DISS"
"36","Cyba",1.57964619975755,3.80476803245546,0.0263241162634099,"DISS"
"74","Lgals9",1.58133521576792,2.74404764752517,0.0262219378814981,"DISS"
"138","Tlr7",1.61557211565245,3.88820052815418,0.0242341551711529,"DISS"
"132","Stat3",1.61831393364302,1.55855018951626,0.0240816403650144,"DISS"
"86","Mog",1.64368393298291,2.48340575551665,0.0227151739541916,"DISS"
"118","Serpinb1a",1.64591725423798,4.35783720168357,0.0225986629962906,"DISS"
"120","Siglech",1.65466827875173,2.11282389732358,0.0221478575338371,"DISS"
"91","Myrf",1.65548600884115,2.20891138965596,0.0221061947210179,"DISS"
"129","Sparc",1.65548600884115,1.78903677054331,0.0221061947210179,"DISS"
"142","Tnf",1.65548600884115,2.40166051960643,0.0221061947210179,"DISS"
"59","Icam1",1.68524998217081,2.8669658302969,0.0206419165429817,"DISS"
"70","Kcnma1",1.68524998217081,-1.91859098294648,0.0206419165429817,"HOMO"
"63","Inpp5d",1.69077988949835,2.84498323816838,0.0203807475947981,"DISS"
"67","Itgb5",1.69589413701018,1.97873253392248,0.0201421517218088,"DISS"
"42","Epha6",1.69770634876954,-1.70234756696135,0.0200582782336291,"HOMO"
"21","Cdh9",1.70050094779996,3.65361459090698,0.0199296215673915,"DISS"
"107","Ptgds",1.70050094779996,2.528493947683,0.0199296215673915,"DISS"
"54","Gpr84",1.72849232250888,2.85825405857265,0.0186856270955859,"DISS"
"57","H2-K1",1.72849232250888,2.09126047702727,0.0186856270955859,"DISS"
"110","Rc3h2",1.72849232250888,-1.96501541999402,0.0186856270955859,"HOMO"
"126","Slco2b1",1.72849232250888,2.17153451103836,0.0186856270955859,"DISS"
"136","Tgfbr2",1.72849232250888,2.44015776523569,0.0186856270955859,"DISS"
"8","Bin2",1.73805571417653,2.49237906645464,0.0182786571036471,"DISS"
"124","Slc2a1",1.75224179949954,1.69892903717504,0.0176912369981304,"DISS"
"20","Cd9",1.76568430606428,2.35894626351942,0.0171520365683877,"DISS"
"111","Rph3a",1.76568430606428,2.26448609634847,0.0171520365683877,"DISS"
"22","Cdkl5",1.79508974855379,-1.66522272739152,0.0160291410835834,"HOMO"
"51","Gm10401",1.79508974855379,7.62270589646851,0.0160291410835834,"DISS"
"65","Itga5",1.79508974855379,3.05446649525976,0.0160291410835834,"DISS"
"78","Ly86",1.79508974855379,2.80598125016484,0.0160291410835834,"DISS"
"96","Olig1",1.79508974855379,1.67275755784567,0.0160291410835834,"DISS"
"149","Zfp36",1.79508974855379,1.78885211086401,0.0160291410835834,"DISS"
"38","D6Wsu163e",1.79815709998254,2.3205215715964,0.0159163287187111,"DISS"
"131","Sstr1",1.79815709998254,4.26171403412055,0.0159163287187111,"DISS"
"147","Unc93b1",1.80932955704944,2.28041756008871,0.0155120945407508,"DISS"
"32","Cst3",1.83786013514725,1.52970479790557,0.0145257934649909,"DISS"
"56","Grin2b",1.87807064810491,-1.65666583150248,0.0132412611774408,"HOMO"
"64","Irf8",1.89799429439544,2.77249642078919,0.0126475296323113,"DISS"
"134","Syngr2",1.92209602035457,3.35306271426078,0.0119647596716311,"DISS"
"143","Trem2",1.94245172265436,3.25164691074343,0.0114169021092738,"DISS"
"81","Mapk3",2.00877948158662,1.60607522708882,0.00979987459894349,"DISS"
"60","Ighv14-2",2.01775175204689,7.81370035285141,0.00959949193231747,"DISS"
"31","Csrp1",2.04261499407504,1.69758958950026,0.00906535896925051,"DISS"
"77","Ltbp3",2.04261499407504,2.29175087510966,0.00906535896925051,"DISS"
"112","Rpl36a",2.04261499407504,1.56950175274881,0.00906535896925051,"DISS"
"133","Stxbp5l",2.04261499407504,-1.94039659183074,0.00906535896925051,"HOMO"
"1","Adgrg1",2.06460248956234,1.86041911928788,0.00861782181920973,"DISS"
"6","Atf3",2.09197943964924,2.1739835853763,0.00809134204268505,"DISS"
"12","C1ql1",2.09197943964924,3.09726413328423,0.00809134204268505,"DISS"
"71","Lag3",2.09552854039536,3.32381380951408,0.0080254881828859,"DISS"
"82","Mbp",2.09552854039536,1.9508566779782,0.0080254881828859,"DISS"
"116","Sepp1",2.23804479947177,1.53706903018131,0.00578036417217183,"DISS"
"95","Olfml3",2.28532292248622,2.08709297373903,0.00518414425166851,"DISS"
"83","Mcam",2.29043204133566,2.85821930667385,0.00512351437056197,"DISS"
"130","Spry2",2.29434379351886,1.79409800425402,0.00507757335694849,"DISS"
"24","Clec2l",2.29991918918345,1.94003238498548,0.00501280500108046,"DISS"
"44","Fa2h",2.33666447492967,3.30169203177205,0.00460612293707866,"DISS"
"11","C1qc",2.35666657336891,2.59900522881476,0.00439879200092534,"DISS"
"48","Gab1",2.46298641849623,2.89786773659233,0.00344360699638392,"DISS"
"29","Cryab",2.51303292580061,2.80543930523179,0.00306878932097347,"DISS"
"33","Ctcfl",2.51620931026081,3.07922101548553,0.00304642639628037,"DISS"
"13","C5ar1",2.52175518607198,3.65676971866715,0.00300777132027342,"DISS"
"26","Cmtm5",2.52175518607198,2.66427988924303,0.00300777132027342,"DISS"
"115","Sema5a",2.5264517003172,3.25156265162607,0.00297542014924283,"DISS"
"25","Clic4",2.74268897211323,2.00897236735366,0.00180846883016533,"DISS"
"75","Lgmn",2.80384798450955,1.83966856310458,0.00157091257244261,"DISS"
"45","Fcrls",2.85473401662791,2.67027529752642,0.00139722382788594,"DISS"
"125","Slc2a5",2.91167182714794,4.07703025599621,0.00122554192521248,"DISS"
"9","C1qa",3.00675046133601,2.32422104398937,0.000984576665271198,"DISS"
"35","Cx3cr1",3.02208849795294,2.09531777956268,0.000950411104786222,"DISS"
"139","Tmem119",3.02208849795294,2.54399834881958,0.000950411104786222,"DISS"
"145","Tyrobp",3.08528776040082,3.33913190886978,0.000821698018334145,"DISS"
"98","Phldb1",3.16428567766047,2.26895418415986,0.000685037462541724,"DISS"
"92","Ndrg1",3.23692252712265,2.87490337912612,0.000579532068710796,"DISS"
"102","Pllp",3.26296940905295,2.76220078045546,0.000545796304678585,"DISS"
"128","Socs3",3.31908766807613,2.26314368124744,0.000479636617878707,"DISS"
"85","Mobp",3.35511133624673,2.59581011538848,0.000441457260340479,"DISS"
"68","Jun",3.49507488818276,1.59699903937972,0.000319834355124802,"DISS"
"80","Mal",3.63479663858035,3.19777127929326,0.000231848004027435,"DISS"
"100","Plek",3.63479663858035,2.50306433059181,0.000231848004027435,"DISS"
"72","Laptm5",3.6498834922806,2.30732752615454,0.000223932179847604,"DISS"
