"","pvalSubfieldCA1DG","padjSubfieldCA1DG","pvalSubfieldCA3DG","padjSubfieldCA3DG","pvalSubfieldCA1CA3","padjSubfieldCA1CA3","pvalTreatmentventraldorsal","padjTreatmentventraldorsal"
"0610005C13Rik",0.690707865530119,0.828311888498386,0.861336365588558,0.919806539815189,0.823234342575136,0.998134397389696,0.58483282746403,0.906102606024019
"0610007C21Rik",2.18340993302886e-11,3.72805843151766e-10,3.33230872592166e-10,4.20193873723782e-09,0.681837027784711,0.952170682476374,0.267371361804242,0.656848447778566
"0610007L01Rik",0.981079225067204,0.997751852186269,0.601487665342809,0.75835810608799,0.584890361074745,0.909174395995786,0.487831564609646,0.848952566366229
"0610007N19Rik",NA,NA,NA,NA,NA,NA,NA,NA
"0610007P08Rik",0.000818787201748919,0.00342891080545287,0.00034632970974723,0.0014955323079576,0.816735125665645,0.996775931116625,0.230355186917133,0.611373082575218
"0610007P14Rik",0.0724030993759516,0.159286818627093,0.127005205618447,0.246645005969057,0.786737507603262,0.989653799497015,0.714788516288331,0.912462906168458
"0610007P22Rik",0.999835465306587,1,0.659022582034142,0.806346814327217,0.658986349628595,0.942752563977115,0.134386896772209,0.459898677643706
"0610009B14Rik",NA,NA,NA,NA,NA,NA,NA,NA
"0610009B22Rik",0.916940898675267,0.960524459723412,0.0803622446172527,0.172121804238621,0.0999704336325998,0.352680597214311,0.393524501572997,0.787776704094044
"0610009D07Rik",0.0996302062579394,0.205097267569317,0.000289345493693283,0.00126707925427886,0.0476736883672106,0.208965406531447,0.135776289790813,0.462835861490796
"0610009E02Rik",0.00045775930087484,0.00204647255580169,0.000856968671547932,0.00336273319149285,0.865674484657274,0.998134397389696,2.04278278383432e-08,8.02533575116845e-07
"0610009L18Rik",2.11198172473982e-17,7.24509935098245e-16,7.37886497642612e-18,2.37195400869925e-16,0.892575951435771,0.998134397389696,0.850928501664114,0.958666395852039
"0610009O20Rik",0.329068414243411,0.506522322063529,0.186651796508245,0.325895932332813,0.7303858470135,0.971753874528164,0.817333442648848,0.948292610533581
"0610010F05Rik",5.32110505682215e-07,4.54481844448885e-06,3.20210525465015e-15,7.63075948988721e-14,0.00406887734332811,0.0281315020631177,0.961393944744178,0.988998012231768
"0610010K14Rik",0.745111251620883,0.846263075110016,0.885465595845284,0.937669254138533,0.856313989079496,0.998134397389696,0.891572806314446,0.970409493608446
"0610010O12Rik",7.71269073665895e-14,1.77034033160503e-12,3.36587961193772e-06,2.21421291178206e-05,0.00466752955887356,0.0315788059227373,0.0982442896476854,0.383644935485932
"0610011F06Rik",0.00297187619966115,0.0106578215714288,0.00747862454417029,0.0229923224649527,0.767396388165585,0.983498611856179,0.537252231133089,0.879739241668855
"0610011L14Rik",0.0567054801745956,0.130510078575199,0.214528833017996,0.362226437093477,0.506296167765258,0.859828251042516,0.625452701103858,0.912462906168458
"0610012D04Rik",0.00147104807993049,0.00579753309321035,0.652052023832395,0.800820367323177,0.000269531952144229,0.00256414908030491,0.00227834531056587,0.0216021543176278
"0610012G03Rik",0.121975887583022,0.240074061605503,0.31453509025918,0.479105542515664,0.588582672120258,0.909372084665846,0.349195041621265,0.744599859230881
"0610012H03Rik",NA,NA,NA,NA,NA,NA,NA,NA
"0610030E20Rik",0.00121824842912387,0.00489251275776536,0.00129371414610813,0.00485394892504131,0.986428336972157,1,0.2946501013511,0.68835294028624
"0610031J06Rik",0.129694148365017,0.251741899340625,0.0126943259175082,0.0364439012288087,0.328534080716654,0.700091072871097,0.981267338653896,0.995003141021482
"0610037L13Rik",0.0154984798535344,0.0441917067748511,0.0016344309363355,0.00597625668042919,0.465772402516337,0.830249508575104,0.525411908028709,0.873150769000557
"0610037P05Rik",0.745934490137841,0.846635421125477,0.377800061176251,0.550059748805196,0.576782514310488,0.904687790245068,0.68290204678496,0.912462906168458
"0610038L08Rik",0.037037550550681,0.0921600149308078,0.0230626885757524,0.0607236521982925,0.848099538418198,0.998134397389696,0.072860722528324,0.313760008660093
"0610038P03Rik",NA,NA,NA,NA,NA,NA,NA,NA
"0610039K10Rik",NA,NA,NA,NA,NA,NA,NA,NA
"0610040B10Rik",0.955648197152041,0.983049546279684,0.513211584987751,0.678281904656404,0.477757937251888,0.841096607496496,0.829503341041211,0.951235916340378
"0610040F04Rik",0.998500425696476,1,0.613684663239699,0.768713590200298,0.612229955800805,0.921177107403911,0.960993624046592,0.988998012231768
"0610040J01Rik",0.00263569713363096,0.00960986625584336,0.940673028917066,0.97243955609353,0.002044694959182,0.0154213088284565,0.00708884711351564,0.052843639959436
"0610043K17Rik",4.10075467140224e-10,5.78320233065948e-09,1.09416725404612e-08,1.08487077634696e-07,0.474449100992344,0.838007180869178,0.280787020678265,0.6724532777217
"0910001L09Rik",0.0137977252808414,0.0400443648302214,0.0574009088520546,0.130382741529587,0.573948964891214,0.903082746918426,0.745300182473217,0.922265787494323
"1010001B22Rik",1.88745354721526e-06,1.45777482473705e-05,3.19700740869184e-07,2.52185078469322e-06,0.735449687289596,0.973799676585692,0.73079020987145,0.91594364275326
