"","pvalSubfieldCA1DG","padjSubfieldCA1DG","pvalSubfieldCA3DG","padjSubfieldCA3DG","pvalSubfieldCA1CA3","padjSubfieldCA1CA3","pvalTreatmentventraldorsal","padjTreatmentventraldorsal"
"1110001A16Rik",0.44123077254366,0.62197790139834,0.656197690558154,0.804065580482197,0.224058710759187,0.574773577893438,0.238860399046006,0.622284715901939
"1110001J03Rik",0.597712528310672,0.755692906026789,0.474095287093281,0.641150776301526,0.850696592439662,0.998134397389696,0.2923873982959,0.685415472830818
"1110002B05Rik",0.603462502126477,0.760465262718808,0.761940722135946,0.863513462718769,0.828563056658875,0.998134397389696,0.326242979079095,0.720277667157857
"1110002E22Rik",0.0413019257499945,0.100861899477026,8.19267860594625e-06,4.99525099928736e-05,0.0153829469498953,0.0854090667590065,0.206234825023638,0.573361649366617
"1110002J07Rik",0.00156185490011219,0.00611311893966459,0.0028710325675096,0.00987173787274953,0.840059293450406,0.998134397389696,0.00158458668618664,0.0160151743604942
"1110002L01Rik",0.200022766326074,0.350081741380119,0.311205578868593,0.475651962304712,0.788097386146446,0.990690536110734,0.445019804034458,0.82744808219613
"1110002N22Rik",0.278288467474867,0.44902736365424,0.0395648884616889,0.0955502229185777,0.329724001341466,0.700091072871097,0.597652451423779,0.912462906168458
"1110003E01Rik",0.956128710778133,0.983439837860892,0.232270485512154,0.383990507416681,0.211396334819837,0.555947437186087,0.828436466537444,0.950840328322199
"1110004E09Rik",0.0677632924102173,0.150933902135033,0.353424981042806,0.523074405071424,0.368704899047073,0.743455766185227,0.123682428763982,0.437479725339435
"1110004F10Rik",0.1038220512551,0.211847470047176,0.886982615126165,0.93884745890555,0.076883122606209,0.295014851690425,0.643208918967769,0.912462906168458
"1110005A03Rik",0.000294576419108745,0.00137857657526146,8.67592638510396e-05,0.000425400974141015,0.760127309266566,0.981494397484966,0.455029841784768,0.831885119568326
"1110007C09Rik",0.0394630558739658,0.0971631204731091,0.247811338072871,0.402730315623673,0.366047777772724,0.740751440989365,0.916157301474533,0.976119042951104
"1110008E08Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1110008F13Rik",0.385099491312527,0.564482287499743,0.557970096723158,0.719846848402306,0.777387868760783,0.987374895315889,0.980355044810469,0.99449208200202
"1110008J03Rik",0.76333405789257,0.858556716185379,0.862795700570339,0.920701131372305,0.63549044744411,0.933586062240162,0.360610521067335,0.756063763021099
"1110008L16Rik",0.0496918315872514,0.117110649402081,0.387187064230636,0.559706225357424,0.272235978186352,0.633821552945615,0.495009025923757,0.852775694381604
"1110008P14Rik",5.17935994904991e-15,1.35044088324812e-13,0.000767286657759534,0.00305061007539951,8.2261044952755e-06,0.00012462127620498,0.872707324306463,0.96607600900225
"1110012J17Rik",0.623864526902925,0.777102388102842,8.68678550997167e-05,0.000425824987256885,1.00825549861546e-05,0.00014922336376511,0.099135321429781,0.38588711014397
"1110012L19Rik",0.463736342881067,0.640448097988626,0.664887958787009,0.810946832611887,0.76445040102774,0.982806468036932,0.293363295539016,0.686828929096873
"1110014N23Rik",0.882272736823716,0.93981443673782,0.49079872413592,0.656865881228688,0.588467693575292,0.909372084665846,0.686779480480328,0.912462906168458
"1110017D15Rik",0.115013934561327,0.229429855243886,0.574661118005193,0.735027223806962,0.309451404311072,0.678179693832198,0.631846865016247,0.912462906168458
"1110017F19Rik",0.0161616361733597,0.0458116101361564,0.270716579340987,0.429696458264835,0.173089425880354,0.494944502290789,0.430131312662989,0.821601663772293
"1110018G07Rik",1.06735776537119e-15,3.03559132090969e-14,0.263087870606792,0.420674053191644,5.09420462422579e-12,2.31888676216236e-10,3.39215043552503e-10,1.88668119514355e-08
"1110018J18Rik",0.030135736729103,0.0775950848884272,0.00220036751485512,0.007782526910091,0.371377821191436,0.746589393484563,0.00192210524772236,0.0187552042349113
"1110018N20Rik",0.972542101276775,0.993253597104476,0.202428208238317,0.346777765475865,0.214783320298357,0.561624891410286,0.520170583010059,0.869897355006351
"1110019D14Rik",0.214421487747185,0.369063316989501,0.164494554032531,0.297822532947474,0.881653461607717,0.998134397389696,0.918214890193525,0.976655859733135
"1110020A21Rik",0.145424954927206,0.27409702503274,0.0781793498549729,0.168336170475216,0.758815629177554,0.98132815768781,0.11679946897199,0.428383648567191
"1110020G09Rik",0.810350018578027,0.892158666705913,0.510870957530091,0.675870358952441,0.676202111557356,0.949819717457682,0.188672974927015,0.545876999172652
"1110021J02Rik",3.90580754731267e-07,3.41830894236177e-06,5.02219225855763e-05,0.000259882590536219,0.297019455414273,0.66607869686464,0.0135054887416613,0.0880749510107135
"1110021L09Rik",0.0936261716856058,0.195781802171046,0.0148209273423969,0.0415878719970324,0.446862707542727,0.816211191103379,0.928128715156583,0.97888970170125
"1110028C15Rik",0.000191577226747099,0.000936173716043337,3.99521407582294e-06,2.58667945628685e-05,0.377572487780477,0.75268264801621,5.56627763615578e-06,0.000125103213400382
"1110028F11Rik",0.721707728294445,0.828353272998519,0.408784695476359,0.577025866191982,0.233651856169263,0.582907697486842,0.0113603930666084,0.0765451657316495
"1110031I02Rik",0.0808649043877108,0.1738517192466,0.0236221025403914,0.0620269445541029,0.601442053693167,0.916129776465252,0.100608596482592,0.389057176237307
"1110032A03Rik",0.136903854007272,0.262671519849225,0.000273200566249147,0.00120349505905452,0.0312978757340059,0.150547238885407,0.943843503745156,0.983936853037045
"1110032A04Rik",0.000535493484756597,0.00234879842915334,0.000817013136563394,0.00322003619694986,0.897933662314397,0.998134397389696,0.00054393736837536,0.0064762005098703
"1110032F04Rik",0.475049199533167,0.650907427261225,0.978673715041785,0.996073480562342,0.45861000116267,0.824232807267774,0.899180372408932,0.972673171927148
"1110034A24Rik",9.7793226220988e-08,9.48614478704001e-07,2.69121501534499e-07,2.14572857641688e-06,0.850981552257159,0.998134397389696,0.451888698054675,0.831885119568326
"1110034B05Rik",0.00228227455931117,0.00851617297349953,5.9359961283936e-05,0.000302294645470031,0.334169261531271,0.704050510890348,0.0330896030727574,0.176944019065793
"1110034G24Rik",0.027864969492531,0.0725931760675125,0.0925228492877122,0.192285748843486,0.60425117782634,0.917286063469424,0.715725319003106,0.912462906168458
"1110035H17Rik",0.699491984754877,0.828353272998519,0.919696775995491,0.960534838943541,0.626297144723749,0.929491898916209,0.91418621767955,0.975593297313824
"1110035M17Rik",0.749663844486837,0.848818322743362,0.694306400350816,0.833210952867246,0.476316605299629,0.839571240849905,0.681958578111368,0.912462906168458
"1110037F02Rik",0.0732598519291375,0.160701511833822,0.44414544487768,0.611077028894507,0.0105566620622046,0.0621996719729956,0.17807259012978,0.52942284998617
"1110038B12Rik",7.06910862114529e-05,0.000384303565554975,0.0174747983846124,0.0479996066898304,0.110100949461387,0.377021835653388,0.0342422192379867,0.182123502687434
"1110038D17Rik",0.00219444962154774,0.0082375116684257,0.00183962200336193,0.00664078021648555,0.957950829909111,1,0.885544495707726,0.968758842554576
"1110038F14Rik",0.0585823594273472,0.13407472301859,0.00303404134469197,0.0103674296525366,0.28313244117294,0.649787265171032,0.312278753335163,0.705269330956071
"1110046J04Rik",0.175888200267585,0.318026572745054,0.307151916254544,0.47156885377826,0.733443239504314,0.973321644946695,0.756945138987105,0.924924306208665
"1110049F12Rik",0.146012982288469,0.274984778004501,0.0180586853786779,0.0493710048227236,0.362260163742431,0.737504700027544,0.844714219075361,0.956537730875319
"1110050K14Rik",0.00116275552895372,0.00469573387514523,0.00550964089494189,0.0175708942760263,0.624439184152523,0.928149389900614,0.00114718930046714,0.0122283075434608
"1110051M20Rik",0.023102954073044,0.0619649641345632,0.574583508039164,0.735025607712869,0.087123637830659,0.321495907709724,0.577308375631843,0.902336649359276
"1110054M08Rik",0.301059839585891,0.473846611216944,0.17710413091882,0.313172930557616,0.752070725822027,0.978942892557549,0.736423917690989,0.91810946037515
"1110054O05Rik",0.0260125569687826,0.0684090787287732,0.0793915756617672,0.170439771222686,0.636990285516521,0.933971954467405,0.602465606683504,0.912462906168458
"1110057K04Rik",0.973614755725177,0.994025079719633,0.386143829934545,0.558785468614885,0.404448468950096,0.779233066803492,0.208153952364886,0.57672229713951
"1110058L19Rik",0.342826131744737,0.521465203549584,0.922039611648927,0.961748251478879,0.295194841661877,0.663860859168354,0.954396044877519,0.987557075917159
"1110059E24Rik",0.0503755657389096,0.118450313986962,0.0790955371509089,0.169873485134666,0.840881984115106,0.998134397389696,0.408385797569364,0.802359916458624
"1110059G10Rik",0.221923845944674,0.378613883284684,0.0214444469522307,0.0571822221389283,0.000423073731869208,0.00382952550990805,0.0813095432359792,0.337752666701405
"1110059M19Rik",1,NA,0.784031598227482,NA,0.934457802483433,NA,0.719991448624329,NA
"1110065P20Rik",1.90073256588668e-07,1.76540867125018e-06,1.92725518525729e-08,1.83618498724044e-07,0.67831559264997,0.950903659998532,0.533493372285915,0.878279905341681
"1110067D22Rik",0.466727054267483,0.642972438309718,0.83810362649787,0.90381883664052,0.600585685959188,0.915547255414787,0.444224099588259,0.826678522068266
"1190002H23Rik",0.736736608619402,0.839795749783904,0.25326394310224,0.410037935558765,0.419519536123299,0.792470050527698,0.762485683887219,0.927406187762796
"1190002N15Rik",0.180899675116271,0.324931491736172,0.000572849532921817,0.00235336414687638,1.73585654207322e-06,3.17416122674453e-05,0.102207047665596,0.393520357797236
"1190003J15Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1190005F20Rik",0.0229162622307017,0.061534468458072,0.0805354806167049,0.172454479456701,0.597978005942178,0.914819065889125,0.574896712419756,0.900862366876548
"1190005I06Rik",1.2341633123236e-06,9.81431307460717e-06,2.79870271412629e-06,1.86402700658948e-05,0.865176603949889,0.998134397389696,0.643888087516463,0.912462906168458
"1190007F08Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1190007I07Rik",0.00988573517377643,0.0300666454508693,0.000449569700927578,0.00189793128510426,0.352172759032379,0.725405057249513,0.862030716338624,0.962664366930737
"1200009I06Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1200011I18Rik",0.0270371902274705,0.0707308849271108,0.490923903663408,0.656984815994201,0.127781476960744,0.4149652130606,0.123377082803139,0.43704823048273
"1200011M11Rik",0.205625385656533,0.357789567910708,0.411800441085476,0.580087606489197,0.65625369651505,0.941261464825313,0.878585284821024,0.967066483506353
"1200014J11Rik",0.200563073891854,0.350798774292237,0.116236207130857,0.229928926269227,0.771130883139132,0.985538640305588,0.479987166817615,0.847549692699195
"1200016B10Rik",0.210231137848415,0.36361534275576,0.200673583658063,0.344679507789456,0.97863369870872,1,0.368061912715467,0.762173690879234
"1300001I01Rik",0.300410860392133,0.473102434825477,0.098206250353274,0.201466157101246,0.536220527763284,0.87945921532103,0.287583528708124,0.681113876194837
"1300002E11Rik",0.648862472334998,0.796627848577953,0.846513554411743,0.9096696853519,0.516328054077507,0.866697572612389,0.285267702747,0.677676273163904
"1300002K09Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1300010F03Rik",1.01863629347231e-07,9.85048543260592e-07,4.58373806106976e-10,5.66858550840708e-09,0.362717134272639,0.737965076693972,0.733235610121931,0.916596648303599
"1300014I06Rik",5.89271483516635e-08,5.96217148473047e-07,9.10175750393332e-06,5.49731307209022e-05,0.313531413560292,0.683387748257123,0.126012270868463,0.442747044742673
"1300017J02Rik",5.62868076321287e-08,5.71656238074764e-07,1.39416903264737e-09,1.59980481070471e-08,0.510538448964015,0.862209799481587,0.601414879982869,0.912462906168458
"1300018I17Rik",0.0200408423228734,0.054879503980728,0.0683420514716468,0.150721707663431,0.615051388083877,0.922840682424613,0.892232789339589,0.970636898898572
"1300018J18Rik",0.395067764978103,0.575102904895722,0.629273089061203,0.781939317206696,0.713028040549763,0.965699860785375,0.044427260802621,0.220957019908084
"1500001M20Rik",7.67053853577087e-10,1.04029156011001e-08,1.02196832585073e-08,1.01800310989425e-07,0.667049373790348,0.946362783107365,0.778216730355624,0.933672736961
"1500002C15Rik",3.68865428645213e-07,3.24487655269132e-06,1.16708544870834e-07,9.84328966924181e-07,0.822167628424806,0.998134397389696,0.506325266491537,0.860560151589499
"1500002F19Rik",0.572608941267858,0.734611834317793,0.0290834974565927,0.0738595019159447,0.00534776415543444,0.0353852916882784,0.570314543134155,0.898831218659991
"1500002O10Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1500002O20Rik",0.545757437400587,0.710596784406015,0.0845221606825829,0.179434862617765,0.262127787031196,0.620252432145392,0.782826116857015,0.93565502902764
"1500003O03Rik",0.000139126142794153,0.000700812529042681,4.25620297053052e-05,0.000224283492604174,0.776646103618097,0.987256334965278,0.239186182728117,0.622444280530901
"1500009C09Rik",0.325037804881581,0.5018797284574,0.143646038911096,0.271598381318789,0.0143732808892876,0.0806873246423419,0.0416789142320547,0.210949434474239
"1500009L16Rik",0.0425843863041458,0.103351306464108,0.111980877824575,0.223624953589732,0.660799227747636,0.943575781383394,0.0934703603876532,0.371489212878092
"1500010J02Rik",0.227646529158214,0.386483076099094,0.130061554019621,0.251237482207846,0.75843108919118,0.981094432138137,0.891468795071306,0.970409493608446
"1500011B03Rik",0.893389852942366,0.94582744632515,0.465941317244611,0.633415706265531,0.551618403437643,0.889863635907491,0.761871833190148,0.927227190153221
"1500011H22Rik",0.125876815722658,0.245872205003489,0.135119413155779,0.259006898986016,0.971061651268004,1,0.559286485046453,0.891478284479323
"1500011K16Rik",0.0217663781060261,0.058908681790536,0.0110706784394612,0.0324404068409414,0.80539909453184,0.994036251856328,0.000604458229921659,0.00711523997250811
"1500012F01Rik",0.000732532501420299,0.00311065698988033,0.000981474496224118,0.00379555334741719,0.935410812822491,0.998134397389696,0.379722770192427,0.774005665406855
"1500012K07Rik",0.28303198170696,0.454141193590742,0.0850762360939645,0.180478411860487,0.50412553964894,0.858245632618239,0.284082202548634,0.676018057549124
"1500015O10Rik",0.045793995606898,0.109764289610363,0.203164915074571,0.347851719701305,0.46840807883427,0.832951381414284,0.767762013485797,0.930312636576756
"1500016L03Rik",0.721652978758544,NA,1,NA,0.934526009980365,NA,0.157080182043527,0.491799560708596
"1500017E21Rik",0.365386288844185,0.5445454926258,0.0237789445217339,0.0623622414554599,0.174226197135647,0.497143661210268,0.0351308112084304,0.185792840649997
"1500026H17Rik",8.78265027127245e-07,7.20668015930383e-06,0.000241129635007861,0.0010745084753706,0.207118314698783,0.550153559046083,0.100058569042399,0.387931013999241
"1500031L02Rik",0.0114839950660913,0.034235271685292,0.00454844365040778,0.0148265248837992,0.756548616736564,0.980171605959099,0.215979694730583,0.589373403873626
"1500032L24Rik",0.00253044135521183,0.00928190576324432,0.0851074515550883,0.180478411860487,0.193796149583035,0.528772121329365,0.411515281223803,0.805044211138303
"1500035N22Rik",0.591413187461817,0.750910206071504,0.982039540568022,0.998372299558462,0.606756388029051,0.9184571515561,0.903897970623939,0.973804173787923
"1520402A15Rik",0.0428082869039061,0.103785528179847,0.0418301520672462,0.0999800866503011,0.992191755526422,1,0.796130265959208,0.940730152926019
"1600002H07Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1600002K03Rik",0.0134041009357846,0.0391096839192636,0.0552469017750631,0.126444680099708,0.57642105263037,0.904624058683052,0.863871906537007,0.963372191532509
"1600010F14Rik",1,1,7.06409388483104e-06,4.36939054778097e-05,3.65032364044977e-05,0.000452006313163089,0.654520553335655,0.912462906168458
"1600012F09Rik",0.59048469205234,0.750238018781559,0.928718759045032,0.965576271868659,0.653571992703796,0.939814545249219,0.867374589806881,0.964502713280061
"1600012H06Rik",0.225089282450508,0.382902309364501,0.0550666943591863,0.12609218692902,0.480460461556148,0.842709618078304,0.979212042669627,0.994108881080565
"1600012P17Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1600014C10Rik",0.00427601894448454,0.0145995060184099,4.69585546243042e-07,3.60090390000389e-06,0.0289766729940186,0.14218571867861,0.68535262371409,0.912462906168458
"1600020E01Rik",0.525911064019946,0.694283854811164,0.781694561220713,0.863513462718769,0.720841009240037,0.967868515900977,0.0415856129717838,0.210586604565535
"1600021P15Rik",0.0120232710213241,0.0356226118092785,0.586452556219756,0.745799086586844,0.0490918451229329,0.213570600506569,0.120035322401717,0.43256465376979
"1600027N09Rik",0.199085963082116,0.348915441400919,0.777162427600515,0.863513462718769,0.316543601232839,0.686984433791732,0.845980240851379,0.956927707097196
"1600029D21Rik",0.0390449270397805,0.0962756536491126,0.452309595709541,0.619520647701467,0.188636653957385,0.519986177025751,0.346645755272991,0.742768769215912
"1600029I14Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1600029O15Rik",0.000576294257205501,0.00250723345086929,0.321377846937806,0.486466106325178,9.2793867247948e-06,0.000139154666188414,0.166385392373905,0.508361306268755
"1700001G11Rik",0.00166123972439494,0.00643777480496813,0.000242614203724135,0.00107987436262326,0.592506342940818,0.911799349339878,0.585167902326337,0.906136541602037
"1700001G17Rik",0.00421913397101696,0.0144341218418831,0.00334907584542165,0.0113074619329465,0.936760979039326,0.998737820767107,0.275360860615197,0.666792808493567
"1700001J11Rik",0.665139756516673,0.809658516986982,0.600009141827359,0.757188099743465,0.926736489625553,0.998134397389696,0.800682503015491,0.942098862010739
"1700001K19Rik",4.85766631090967e-08,4.96840418818232e-07,7.15359934001302e-06,4.41988663883838e-05,0.332726492151712,0.701788174991355,0.186164377036205,0.543153611264468
"1700001L05Rik",2.4212148191237e-10,3.52840444842686e-09,3.72920376226714e-07,2.90829560317755e-06,0.197970777571095,0.535986222325408,0.677083804907041,0.912462906168458
"1700001L19Rik",0.533108107029296,0.69985330335501,0.262243187720347,0.419637046418622,0.0809543275299005,0.306242745891598,0.0489453742031425,0.237652258510764
"1700001O22Rik",0.596851323902694,0.755010297964252,0.965719003469098,0.988414750132832,0.626947921228303,0.929667286141006,0.0458740191560557,0.226590909321902
"1700001P01Rik",0.564191797529183,0.727351639127082,0.705804464014151,0.84176409309224,0.842135662072379,0.998134397389696,0.000380070277979176,0.00475954165390107
"1700003D09Rik",0.0013602790060954,0.00540517544611867,0.0869419738359006,0.183359003966075,7.08026243069451e-07,1.3982610574669e-05,0.00134891858975934,0.013966539659963
"1700003E16Rik",0.403596208835465,0.584317620240667,0.536940757394917,0.701315580222435,0.145907133122301,0.450364519499749,0.615624388899905,0.912462906168458
"1700003F12Rik",5.48302452409105e-07,4.66615563731949e-06,8.36394452544418e-07,6.18938323741075e-06,0.936590140046777,0.998737820767107,0.802447433700053,0.943264202996877
"1700003G18Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1700003M02Rik",0.0549322811931851,0.127333163273821,0.211356777532355,0.358128467794619,0.479278739897744,0.841940711315671,0.470067517129517,0.839597677974862
"1700003M07Rik",0.739738141388552,0.84217144053436,0.155953893143905,0.289876779546718,0.0798595719963862,0.303472677874564,0.930979633185988,0.980121515601176
"1700006D18Rik",0.836865692765383,0.910430448975488,0.554250469519707,0.716540972171551,0.699762397697808,0.959302970484881,0.535319153565948,0.879159631385256
"1700006E09Rik",0.86143623799394,0.926915450635228,0.627757903731956,0.780616661039705,0.509491544501203,0.861834287039503,8.80634727342791e-05,0.00133958222459029
"1700006P19Rik",0.8653930804957,0.928939902942881,0.672975413282644,0.816944560658639,0.800537746286037,0.993241660247558,0.868233575626295,0.964891509682729
"1700007B14Rik",0.778731881282986,0.869373516018698,0.854643943255475,0.915359791611421,0.922107610177448,0.998134397389696,3.65835168742672e-11,2.43299115976782e-09
"1700007G11Rik",0.139216734856335,0.266241793342946,0.83866962627023,0.904047635406205,0.0925533958092159,0.335804717600613,6.40566376082829e-06,0.000141680776439841
"1700007I08Rik",0.00177834994731038,0.00682826810855552,0.287884179368863,0.451107574360959,0.0369851264165798,0.171107306379444,0.00436656849341012,0.0360385233640786
"1700007J10Rik",0.0269432252576026,0.0705243235335104,0.000185793871449972,0.000850157080505991,0.126311908262314,0.41215654865122,0.520027866602409,0.869897355006351
"1700007K09Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1700007K13Rik",0.00132599826737791,0.00528235673414651,7.31326614723568e-19,2.54641843878884e-17,3.50113854945421e-08,8.83544204059512e-07,2.8149063378104e-08,1.06714523148976e-06
"1700007L15Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1700007P06Rik",0.0729341612890237,0.160192697519845,0.035902431312276,0.0881087579553752,0.745369947971951,0.977130878826248,0.986860779171957,0.996770021331276
"1700008F21Rik",0.0153199564407505,0.0437623250462951,0.0199933741056762,0.0539026068894981,0.920733214075306,0.998134397389696,0.766377659088394,0.929414675027091
"1700008O03Rik",0.66755798320802,0.811117806072242,0.309842929648141,0.474699682556886,0.148186258543876,0.454930868664276,0.445195643695968,0.827621662334513
"1700009P17Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1700010I14Rik",0.000699888245269547,0.00298281548919116,0.00184155759083016,0.00664403061859375,0.764147954465226,0.98268008169558,0.866834955503342,0.964177992153995
"1700010K23Rik",0.858570407161139,0.925233197716744,0.758029620475411,0.863513462718769,0.896509006359208,0.998134397389696,0.422087304401682,0.814123304798762
"1700010K24Rik",0.721588305481625,NA,0.784009088102862,NA,1,NA,0.719991004980942,NA
"1700010L04Rik",0.721635204227053,0.828353272998519,0.784019340199737,0.863513462718769,0.934508290484902,0.998134397389696,0.0432103961312273,0.216861376056962
"1700010M22Rik",0.437279514350841,NA,1,NA,0.290207279603559,NA,0.438566403363261,NA
"1700011E24Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1700011F03Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1700011F14Rik",0.253840527335584,0.419917993081806,0.732406855959218,0.862326893206234,0.424217338144908,0.797244444355268,0.345533985311117,0.741528109886832
"1700011H14Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1700011J10Rik",0.00204526404621919,0.00774399170289516,0.00479838655432237,0.0155438985705715,0.792574695138067,0.992220374395201,0.172307206383309,0.518503165829652
"1700011L22Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1700011M02Rik",NA,NA,NA,NA,NA,NA,NA,NA
"1700012A16Rik",0.374920403805469,0.554011259014421,0.662605572547009,0.809641684995224,0.65172643391461,0.939084972313538,0.187752179048707,0.544956996217096
"1700012B09Rik",0.721652978758544,NA,1,NA,0.934526009980365,NA,0.157080182043527,0.491799560708596
"1700012B15Rik",0.394548676996008,0.574715164271827,0.153697314235403,0.28643455145206,0.564652902349875,0.897177075904421,0.147911328546074,0.483000610103741
"1700012C14Rik",1,NA,0.784032146102647,NA,0.93445666866969,NA,0.719990381758884,NA
"1700013F07Rik",0.813869646842571,0.894019985607786,0.0285508984295561,0.0727179297964421,0.0505946362500585,0.218283603180568,0.877034422220914,0.966692831913581
