"","100-CA1-1","100-CA1-2","100-CA1-3","100-CA3-1","100-CA3-4","100-DG-2","100-DG-3","101-CA1-1","101-CA1-2","101-CA1-3","101-CA3-1","101-CA3-4","101-DG-3","101-DG-4"
"0610007P14Rik",6.02428194595269,6.14717171354811,6.1989130174184,6.35851008944069,6.42574624685335,6.43996902775406,6.32132520934328,6.26869626957786,5.58252895909874,4.74843365484861,6.3634808040352,6.31835614086192,6.87292409357847,5.72295563312329
"0610009B22Rik",5.50073198986441,5.80117402107411,5.46956953026216,5.74460816940765,5.45189355127969,5.77132764294179,5.67112411455716,5.56966217753283,6.35555891777919,4.74843365484861,5.88093779663688,5.66904049525227,6.52893992990247,5.15256501101735
"0610009L18Rik",5.09977026416344,5.42870638508642,5.0337749671367,5.44435326976024,5.30234751613837,5.11670343218513,5.49988268991117,5.25553404748201,4.74843365484861,4.74843365484861,5.36474820657248,5.16570639009858,6.52893992990247,5.86700201492749
"0610009O20Rik",6.05243356531503,6.39793738321392,6.31253359743828,6.59578539726324,6.4893053090895,6.60601388957949,6.36230842292301,6.52425619844599,6.15674808772879,6.29982455105169,6.58557701021154,6.38562248539487,7.14434492899864,6.15405870507637
"0610010F05Rik",6.44489319721959,6.56749446040139,6.52906659480453,6.34703604706529,6.54123611288145,6.54821926541607,6.45382685791719,6.19484674908815,6.52518048299585,6.53930837973801,6.02385693032919,6.67472379480655,6.52893992990247,5.93137751091534
"0610010K14Rik",5.62141817729066,5.73421290269155,5.65934631174994,5.58417064611987,5.78697431650183,5.70766464423532,5.92331316899325,5.96097047387363,5.91267076260594,4.74843365484861,5.08779286832244,5.25860710243401,6.04482029771009,6.33845914755574
"0610012G03Rik",6.23097191251264,6.43382227357285,6.13741626276152,6.35851008944069,6.37816931096612,6.01311756685077,6.52293729069662,6.70652672486568,6.15674808772879,6.38516995929711,6.60969213966279,6.54827794500546,4.74843365484861,5.64076427428991
"0610030E20Rik",6.20719321388618,5.97210522391863,5.86368327094761,6.10344933327538,5.59512176999694,6.37340158538038,6.46394622829818,5.92035545389781,4.74843365484861,5.3200001005895,6.34377959420484,5.40482573399288,4.74843365484861,6.20309511877324
"0610037L13Rik",6.19510954639233,6.54132489780543,6.34451651011216,6.55772238813643,6.64672983310529,6.56292460398695,7.07186483999358,6.54327135530666,6.52518048299585,5.87055720858224,6.58557701021154,6.34121460921862,6.52893992990247,5.15256501101735
"0610040J01Rik",5.24408610580856,5.05491051577977,5.09762088639817,5.1706609807514,4.94532404249127,5.56327351247045,5.49988268991117,5.51788385119152,4.74843365484861,5.55163396342021,5.22726643304545,5.40482573399288,4.74843365484861,4.74843365484861
"1110002E22Rik",5.38626254914984,5.66843352274796,5.24106836489114,5.22008153812598,5.18734111271952,5.60194784409482,5.76118492370432,4.95634393533776,4.74843365484861,4.74843365484861,4.74843365484861,4.74843365484861,4.74843365484861,4.74843365484861
"1110004E09Rik",5.76418798009372,6.24973771638935,6.00261078263699,6.04439002815814,6.44425369406626,6.16760039417659,6.16279039044102,6.1156769383579,5.91267076260594,5.87055720858224,5.86541467304268,5.33652531943351,6.04482029771009,6.04871343304892
