"","143B-CA1-1","143B-DG-1","144B-CA1-1","144B-CA3-1","145B-CA1-1","145B-DG-1","146B-CA1-2","146B-CA3-2","146B-DG-2","147-CA1-4","147-CA3-4","147-DG-4","148-CA1-2","148-CA3-2","148-DG-2","148B-CA1-4","148B-CA3-4","148B-DG-4"
"0610007P14Rik",60,48,72,34,51,21,13,33,1,2,92,0,49,58,42,5,122,16
"0610009B22Rik",21,10,14,9,15,10,6,43,1,2,21,9,6,46,15,0,45,2
"0610009L18Rik",10,8,1,4,3,0,0,2,0,0,0,0,13,0,0,0,11,1
"0610009O20Rik",44,72,49,24,124,46,16,46,2,0,29,0,27,91,164,0,70,18
"0610010F05Rik",54,117,75,25,30,41,53,110,5,12,0,18,73,150,58,4,177,23
"0610010K14Rik",14,21,41,11,27,24,11,11,6,0,7,0,2,22,13,0,39,10
"0610012G03Rik",59,106,112,42,56,35,28,54,8,0,8,0,76,102,81,16,104,61
"0610030E20Rik",38,69,36,31,91,40,12,37,7,0,0,2,41,28,144,16,52,19
"0610037L13Rik",77,138,128,55,51,61,27,77,2,0,0,0,35,144,135,7,118,48
"0610040J01Rik",0,7,4,0,0,0,0,3,0,0,20,0,0,1,0,0,13,1
"1110002E22Rik",7,47,1,0,0,31,11,0,1,0,0,0,0,1,16,0,0,3
"1110004E09Rik",29,66,51,14,82,27,15,46,0,0,11,0,17,45,51,10,52,11
"1110004F10Rik",178,163,176,82,106,79,64,151,2,5,71,9,207,203,115,9,180,69
"1110008F13Rik",79,104,73,50,69,62,39,105,0,17,20,23,24,90,78,17,192,34
"1110008L16Rik",5,8,3,0,4,9,15,9,0,0,0,0,12,6,15,0,29,5
"1110008P14Rik",106,154,61,71,44,87,14,190,4,0,78,1,70,188,166,16,263,50
"1110012L19Rik",2,47,10,4,0,8,3,0,0,0,0,0,18,14,8,0,10,10
"1110017D15Rik",0,2,0,0,0,0,0,0,1,0,21,0,0,15,0,0,5,0
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032A03Rik",19,36,32,16,9,6,11,58,0,0,0,0,10,27,31,0,62,18
"1110032F04Rik",40,9,8,8,36,6,16,31,3,0,0,0,38,28,0,8,24,10
"1110034G24Rik",20,9,9,0,0,7,1,23,0,0,0,0,0,3,17,0,20,19
"1110037F02Rik",57,115,106,73,126,83,67,84,0,13,26,8,65,119,135,18,133,38
"1110038F14Rik",32,57,51,19,51,7,20,26,1,0,0,0,26,27,77,7,81,8
"1110051M20Rik",78,199,147,111,119,85,82,246,14,30,98,19,172,242,212,86,407,96
"1110057P08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",14,59,49,11,17,27,6,43,0,0,13,0,15,25,30,0,43,4
"1110059G10Rik",11,20,19,7,27,9,4,22,2,0,0,0,10,7,32,4,23,10
"1110065P20Rik",57,52,119,65,81,27,19,46,7,9,32,1,67,70,52,3,132,32
"1190002N15Rik",126,40,214,12,113,55,115,36,10,12,1,12,165,15,54,8,40,8
"1190003K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1190005I06Rik",0,1,4,2,11,2,1,13,0,0,0,0,26,9,0,0,2,3
"1190007I07Rik",12,25,10,4,19,11,9,6,1,0,0,0,0,9,19,0,9,1
"1300017J02Rik",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500009C09Rik",94,119,108,28,81,54,33,129,3,0,12,1,104,196,76,8,205,42
"1500009L16Rik",16,11,38,2,0,4,7,18,0,4,17,0,7,32,6,10,22,8
"1500011B03Rik",99,155,159,57,87,57,43,119,2,5,34,27,62,222,158,15,290,40
"1500011K16Rik",43,31,34,42,29,13,18,44,6,0,7,0,22,71,32,18,67,11
"1500015O10Rik",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1520401A03Rik",0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0
"1600002H07Rik",9,34,22,5,8,26,9,31,3,0,0,0,4,8,29,7,42,11
"1600002K03Rik",3,17,3,0,0,2,1,7,0,0,0,0,0,4,13,0,22,0
"1600012H06Rik",25,42,23,24,31,6,5,33,0,0,34,0,34,31,18,7,58,4
"1600014C10Rik",61,74,72,34,27,30,7,39,1,9,41,26,20,34,70,0,61,35
"1600014C23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C19Rik",0,2,1,0,0,0,2,0,0,0,0,0,4,1,1,0,1,0
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001J03Rik",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"1700001K19Rik",0,19,15,1,0,4,1,17,0,0,0,0,9,7,16,0,5,7
"1700001L19Rik",8,1,15,1,17,7,15,10,0,0,0,0,28,21,22,0,8,5
"1700001O22Rik",35,0,27,2,21,2,7,3,0,0,0,0,3,0,0,0,12,12
"1700001P01Rik",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003E16Rik",59,47,41,4,54,32,26,57,0,0,0,1,55,63,59,0,52,4
"1700003F12Rik",0,4,0,9,0,8,1,0,0,0,0,0,0,0,5,0,0,0
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006E09Rik",0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,2,0
"1700007B14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007K09Rik",0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007K13Rik",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
"1700008O03Rik",6,1,0,0,0,0,0,0,5,0,0,0,0,4,0,0,1,0
"1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010B08Rik",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I14Rik",4,0,0,1,7,0,5,3,0,0,0,0,3,9,0,0,1,0
