"","gene","pvalue","lfc","padj","color"
"1","0610007P14Rik",0.00747407334478219,-0.531838579966871,0.982937550978633,"none"
"2","0610009B22Rik",0.00397700706573803,-0.359341904986857,0.990884404083047,"none"
"3","0610009L18Rik",0.00669378611366504,-0.663315343831522,0.984705160439594,"none"
"4","0610009O20Rik",0.010712283034327,-0.423986391530479,0.975635775335832,"none"
"5","0610010F05Rik",0.000592281041289097,0.0301674387232681,0.998637152025393,"none"
"6","0610010K14Rik",0.00716420337743041,-0.460975284880726,0.983639129114201,"none"
"7","0610012G03Rik",0.00155575347493328,-0.0690454755326878,0.996424153860107,"none"
"8","0610030E20Rik",0.0198152619479872,-0.847297088658531,0.955398902485901,"none"
"9","0610037L13Rik",0.081490471656893,-0.842331937419783,0.828914102300469,"none"
"12","1110004E09Rik",0.00516700943047672,-0.308985823534622,0.988173016263497,"none"
"13","1110004F10Rik",0.000677878771338315,0.0321954853136441,0.998440343975832,"none"
"14","1110008F13Rik",0.0040628251745261,-0.238254014150485,0.990688621203011,"none"
"15","1110008L16Rik",0.00716420337743041,0.730321301633017,0.983639129114201,"none"
"16","1110008P14Rik",0.00746652886953918,-0.407646869617234,0.98295462651779,"none"
"17","1110012L19Rik",0.0103140037629672,-0.927386913826693,0.976530913893269,"none"
"19","1110032A03Rik",0.00669378611366504,-0.372115927614506,0.984705160439594,"none"
"20","1110032F04Rik",0.0103140037629672,0.9536234595146,0.976530913893269,"none"
"21","1110034G24Rik",0.0021831815221114,0.21778446933028,0.994985652795893,"none"
"22","1110037F02Rik",0.00259212155673503,-0.127837404296861,0.994049196135972,"none"
"23","1110038F14Rik",0.043594800291,-0.954748443913288,0.904492978271357,"none"
"24","1110051M20Rik",0.00227470916581981,-0.0748896893802475,0.99477598147742,"none"
"25","1110059E24Rik",0.0456467824517687,-0.805265046402798,0.900229452601312,"none"
"26","1110059G10Rik",0.000592281041289097,0.0514710423776848,0.998637152025393,"none"
"27","1110065P20Rik",0.00746652886953918,-0.43511134328982,0.98295462651779,"none"
"28","1190002N15Rik",0.1438561140779,1.09226232336239,0.71803214279511,"none"
"30","1190007I07Rik",0.0190677026999335,-0.796075535192348,0.957044864766294,"none"
"31","1500009C09Rik",0.0223323585667421,-0.578539680252365,0.949877589424531,"none"
"32","1500009L16Rik",0.00582065336093486,-0.49357473177353,0.986686864602875,"none"
"33","1500011B03Rik",0.0132366352469797,-0.325259215646342,0.969981306809229,"none"
"34","1500011K16Rik",0.00262314778467679,-0.18120324814252,0.993978183271232,"none"
"37","1600002H07Rik",0.0516671904119591,-1.40699849505492,0.887836120116678,"none"
"39","1600012H06Rik",0.00259212155673503,0.189859325631588,0.994049196135972,"none"
"40","1600014C10Rik",0.00766957214018767,-0.368219683757503,0.982495178647628,"none"
"43","1700001L19Rik",0.00676069260978028,0.671302777549359,0.984553470514703,"none"
"44","1700001O22Rik",0.00262314778467679,0.275148915200933,0.993978183271232,"none"
"46","1700003E16Rik",0.00413297974302703,0.361556341101957,0.990528601395199,"none"
"61","1700017B05Rik",0.000592281041289097,-0.0429772723544137,0.998637152025393,"none"
"64","1700019D03Rik",0.144523902974399,1.47227996643229,0.716928915707379,"none"
"69","1700021F05Rik",0.00259212155673503,-0.223953492612985,0.994049196135972,"none"
"71","1700023F06Rik",0.113595434259493,-2.42482398893233,0.76984725529573,"none"
"73","1700025G04Rik",0.0141830967536618,-0.305745773843815,0.967869720370267,"none"
"75","1700028J19Rik",0.00669378611366504,-0.990257533256435,0.984705160439594,"none"
"79","1700029I15Rik",0.00746652886953918,-0.938145759208792,0.98295462651779,"none"
"81","1700030J22Rik",0.16876584676713,2.13665474897731,0.67800696178668,"none"
"82","1700030K09Rik",0.00746652886953918,-0.754702220097173,0.98295462651779,"none"
"86","1700037H04Rik",0.00746652886953918,0.583682941754104,0.98295462651779,"none"
"88","1700047I17Rik2",0.000903224205589173,0.0757330146385334,0.99792241059134,"none"
"89","1700048O20Rik",0.00669378611366504,-0.6725143961412,0.984705160439594,"none"
"93","1700066M21Rik",0.186017208957514,0.938973714481619,0.651602573739278,"none"
"102","1700123O20Rik",0.000592281041289097,0.0771663831783033,0.998637152025393,"none"
"103","1700128F08Rik",0.00175501553439055,-0.161785574199495,0.995967081538918,"none"
"104","1810009A15Rik",0.00364442722774618,-0.464359223129594,0.991643507418311,"none"
"105","1810010H24Rik",0.0283922669576771,-1.67832483930989,0.936715556949567,"none"
"108","1810013L24Rik",0.031884282230075,0.539054678450435,0.92921394286406,"none"
"109","1810022K09Rik",0.000592281041289097,-0.0378349882622953,0.998637152025393,"none"
"111","1810026J23Rik",0.0276587643057998,-0.409316072500845,0.938298961588621,"none"
"112","1810030O07Rik",0.00349420972577769,-0.239081490992153,0.991986564910106,"none"
"113","1810032O08Rik",0.281497361924273,-2.27547172871743,0.523001143087431,"none"
"114","1810037I17Rik",0.0342953470694467,-0.65157916775684,0.92406953585176,"none"
"115","1810041L15Rik",3.0193708948356,-2.25967155985141,0.000956376960325648,"DG"
"116","1810043G02Rik",0.00262314778467679,-0.17015957479053,0.993978183271232,"none"
