"","100-CA1-1","100-CA1-2","100-CA1-3","100-CA3-1","100-CA3-4","100-DG-2","100-DG-3","101-CA1-1","101-CA1-2","101-CA1-3","101-CA3-1","101-CA3-4","101-DG-3","101-DG-4"
"Prkcz-001",25,16,22,8,0,0,5,5,0,39,24,14,0,0
"Prkcz-002",97,91,91,91,85,87,80,105,31,46,64,72,39,85
"Prkcz-003",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prkcz-004",0,0,0,0,0,0,0,0,0,85,0,0,0,0
"Prkcz-006",0,4,0,7,0,0,7,7,0,0,8,0,0,0
