gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
STC2	7.165221352382261	0.5241597911863525	11.59628222159816	8.551767319690113e-10	3.0250947353477724e-07	11.244807117213295
CYGB	7.139968733309183	3.088558636386353	7.340487271282437	8.069644250339348e-07	6.405329328854725e-05	6.060178452521017
SV2C	7.12128341818821	4.841081375770675	10.323921525342001	5.3556358602318245e-09	1.3104798002660488e-06	10.952002718312578
CLEC1A	7.0678538491505005	0.32390906146275417	8.01758661954827	2.344845629980293e-07	2.440128583246e-05	6.766482348923965
PCSK5	7.048110662413473	2.4067656366258827	5.896946914743229	1.3824273872896036e-05	0.0006008108631516716	3.3405777926239235
ACAN	7.000682852129706	-0.8597445688501778	7.089603263312771	1.2957298978773689e-06	9.288157223903324e-05	5.144797744156739
SEMA5B	6.978854201774661	0.4487146645145135	11.302652605187333	1.2877125871418882e-09	4.190731843594561e-07	10.908129848854061
JAG1	6.911583042524597	0.5373188903342526	10.769729241598162	2.7647819346175204e-09	7.636732495125401e-07	10.378351505905236
PLCG2	6.865695421554248	-1.4922141108942921	8.886071122489765	5.242292619871655e-08	7.3922662218797535e-06	7.663494633185279
TSHZ1	6.832720403840092	1.923518535869703	8.592608981074559	8.604680396956157e-08	1.1068407859230877e-05	8.00318246200094
CNTN5	6.798252744181029	0.10443257599725222	6.905679163155355	1.8434860702385678e-06	0.00012243757279559989	4.980709649020055
GRM2	6.770527381429766	3.5571219664204246	5.957871273189423	1.2193830611097944e-05	0.0005371036578874575	3.40326685726866
PDYN	6.726084472882123	0.559666912488853	7.305145772312127	8.621870250103772e-07	6.744955418735028e-05	5.707719119573555
CAPN3	6.655960911882753	2.1306659809792654	9.716334557835161	1.364554439582096e-08	2.7412382519604774e-06	9.685792855045369
PCP4	6.6472555928279915	5.512664234704006	6.200957596539921	7.425973949634225e-06	0.00036896320033113925	3.686309557827806
KCNC4	6.618622747782322	3.9640725753431227	4.906196609874734	0.00011321176010794136	0.003085731592087809	1.1619863436301099
TGFA	6.576280612515362	2.7325483808061177	13.29593324583007	9.284291454504391e-11	5.493599656279835e-08	14.205458992045608
FOXO1	6.4882737223003355	4.748056687210902	9.177634891559338	3.237614268482394e-08	4.970043337428822e-06	9.183516171434833
IL1R1	6.482416106154312	2.437074206294492	12.438515663355856	2.760537509933351e-10	1.2140396313955537e-07	13.145255741320204
LRRTM4	6.464371989832371	5.618274584189861	7.4913574426655325	6.094773553284945e-07	5.0950164029771636e-05	6.195602250344583
LHFPL2	6.416315299802891	3.5835850510401466	9.332720409908012	2.5159137362476978e-08	4.156238407738328e-06	9.402446704223518
CDC42EP4	6.334818639460609	0.7268832729822539	7.843199286718809	3.2049795787561093e-07	3.0677310415011415e-05	6.590282866500094
PRDM5	6.333388671596562	2.2328493022594165	11.883308536512018	5.776123339429336e-10	2.2647970838360036e-07	12.430811997583271
PLEKHG4	6.329633976981938	-1.7285390437808466	8.506268624002564	9.975625657453298e-08	1.2343983323047915e-05	7.182092490108092
KITL	6.319318127762642	1.6451986795342526	3.901104632438817	0.0010437519860456604	0.01646527611918079	-0.72236458476113
FREM1	6.3087339307237915	-0.4630678274428951	8.429415420303092	1.1387647280270987e-07	1.3725910855153295e-05	7.174505567527424
CHRDL2	6.293609433088548	-1.5919620694153354	4.899966942829078	0.00011475669790781459	0.003109610305338816	1.3041935719330056
OPRM1	6.29236972847805	-0.4965186909247369	5.790617644159663	1.722873560165719e-05	0.0007142572884335435	2.985380798730957
SYTL5	6.280955821113916	-1.600234606651036	7.861109439964834	3.103182112459564e-07	2.996734678572227e-05	6.28398482991581
RTP2	6.27289827533731	-1.8851713212041408	5.237840704863177	5.5321831736405004e-05	0.0017530610438457298	1.9475954297043607
KCNA3	6.254738310645253	-0.1677552073764701	5.139483605007439	6.833178124587331e-05	0.002061665678553831	1.793554762277192
GDF10	6.209957479598794	0.3351928999236194	7.95279189565559	2.63230447327172e-07	2.671280150766555e-05	6.672393811744314
MKX	6.1729836341967115	1.0126514947600311	6.0340477856706825	1.0430013756666186e-05	0.0004767336624957084	3.5534213833263326
OGN	6.123800344513381	-0.29701497154257217	5.395066334694388	3.955672690820828e-05	0.0013522417232150529	2.2708578078384525
ECM2	6.02751721725048	1.7210170335276342	5.834086219396454	1.574315256995409e-05	0.0006706088445505052	3.21211923765658
FST	6.0004702618835974	-0.9680333468099992	5.868008723586468	1.4675808712212674e-05	0.0006317586226590599	3.09290139089687
CABLES1	5.97200095723845	-1.6077691989646488	8.533764496046976	9.515884689825718e-08	1.1956947928404949e-05	7.21169381060353
GM12369	5.9686509949356354	-1.632500931597136	7.231215102503922	9.90773640532103e-07	7.53358349473756e-05	5.34859919507022
FAM19A2	5.958416700273823	3.7239951221000003	13.64415263170104	6.062902340732439e-11	4.353411499065553e-08	15.008963699088486
GLP2R	5.956140937000977	1.6017121188696795	6.078336829875207	9.52760556507622e-06	0.00044678154972599497	3.6742115585770563
IYD	5.942729390684162	-1.2007225771485301	7.525651505362384	5.720510685437001e-07	4.8735157001796275e-05	5.788325313722032
STK32B	5.9312909640663865	-0.6932159784285682	3.265931591863545	0.004284054420963181	0.046457936379815316	-1.9052906214581231
CCNJL	5.915102397596131	0.9901964865478309	8.074724089156454	2.118483685940394e-07	2.2457307190633284e-05	7.00305806926872
NCALD	5.914359655859656	5.55448695767609	20.431822974024406	6.41358678419049e-14	3.4787294717449213e-10	21.71559928746736
SNCAIP	5.911129175580127	-0.6198125432684981	5.619185559050885	2.46429519861449e-05	0.0009468479686388424	2.66618510077706
GLIS1	5.905870137066627	-1.8530296157699193	5.04766132105511	8.330075423878973e-05	0.0024291574784472874	1.588739872371157
ZCCHC5	5.884802420109702	0.16536947015320774	6.265345704326539	6.52027517312341e-06	0.0003391588713701231	3.89332302302768
RPH3A	5.840437334058531	5.249837369534785	14.542012197977865	2.1043019551891218e-11	2.088063777273052e-08	16.323794226157613
VWA3A	5.828453223496816	2.179718948453886	10.829121663218576	2.535558597663275e-09	7.296508086019827e-07	11.160337193785
ITGB8	5.826776329931289	3.155294080954097	7.6841500388306985	4.2768060773951154e-07	3.8239528660047546e-05	6.67057456929609
STARD8	5.817080293842968	0.3410731144591396	6.28572295953973	6.258045236453173e-06	0.0003284868131856969	3.948198893757416
PTCHD1	5.7906219031745865	1.6958160218708458	5.761954498763334	1.8286593356124316e-05	0.000745763025290363	3.071715198431307
IL20RB	5.785887367826502	-0.2567345652295967	7.120453036379058	1.2218726232858582e-06	8.935870258924712e-05	5.274870846706595
NTN5	5.784589489100816	-0.39060520158800227	3.928311406289827	0.0009823035490690107	0.015707937718470753	-0.5946742119385933
P2RX5	5.780911636678281	-0.4131667969244147	6.209397614520967	7.300211892792302e-06	0.0003643835825752035	3.734949680041195
TMEM108	5.770088460919598	3.989559277828162	8.46396531741998	1.0728699526357396e-07	1.2979732244824353e-05	8.01942248598538
TDO2	5.753803026477129	1.4691163313241942	8.906086337843046	5.070031676122977e-08	7.2052013479365135e-06	8.354707491041717
GRHL2	5.741660204086952	-0.4013980978936048	6.5107602371185616	3.9917472209901485e-06	0.000229518412650006	4.25339240640143
CYTH4	5.739708337200209	0.11185518842088281	8.325023446020843	1.364744318997027e-07	1.5862228256228302e-05	7.163481368389401
DOCK10	5.687620163731992	5.994283069919057	28.233939930037398	2.2296003508569014e-16	7.2560113818287e-12	26.704347917759257
EFNA1	5.657257066376151	-1.5530204757030175	5.666662375494543	2.2309410386776322e-05	0.0008747439176231911	2.728507195529966
BCL2L15	5.6329886930867925	-0.7826717941989115	4.7234038311116855	0.00016874685002682746	0.004185745036031306	0.9709720249627249
BTG2	5.6275696693152035	3.035847919465032	8.29981439630595	1.4260235873380658e-07	1.6398767359127214e-05	7.709430800131398
CDC42BPG	5.609411108620799	-1.1309703395496253	6.8161757674501295	2.1921857225153645e-06	0.00013879862286680938	4.690486448071251
TPBGL	5.603287624809765	-1.2382415331538066	4.2936576576721075	0.0004355748028413656	0.008544512588106934	0.127545898586213
PLA2G4E	5.589026318634187	1.4127914554087482	6.774361274761942	2.377874430980556e-06	0.0001493929449456201	4.932223205441348
PPL	5.58342894379599	-0.7029278206431129	6.179250486879706	7.75980121030947e-06	0.0003832093635634467	3.656972731396248
INPP4B	5.56995870509392	1.5220786962674744	8.131107227237576	1.917339211566826e-07	2.079929576707693e-05	7.206094928340967
ECE2	5.56021155860701	1.5451425846608273	6.67428232274469	2.8914917419996786e-06	0.00017588917243296736	4.767633828005989
MAML2	5.543738067929893	4.21135628716485	13.631916980397403	6.153420875031202e-11	4.353411499065553e-08	15.137112665742698
FAM183B	5.508884950543578	-0.6771623273086967	6.21661785600735	7.194370774293134e-06	0.0003607605585186375	3.7238095713923123
PTGFRN	5.498202040520081	0.1425038388685396	6.2264795815082215	7.0523616642691755e-06	0.0003574954174485608	3.8221817740863715
MAML3	5.4812818095553455	2.820074106346845	7.927827148082276	2.7526428382151313e-07	2.7734367964976234e-05	7.070482877827048
GHSR	5.472871166694693	0.06225207659714966	4.115261912577968	0.0006475971175903203	0.011592629590131675	-0.22264011693595442
MS4A6B	5.452265702141522	-0.6249640440158042	7.952254645698269	2.634835694432351e-07	2.671280150766555e-05	6.475381866454383
KCNH4	5.452176039134861	-0.02625431319430398	5.1861583711303725	6.180720439654556e-05	0.0019132398796889351	1.8894170660863248
PPP1R3C	5.442424597827359	-2.2917684200003112	6.737601470126828	2.5545651949439596e-06	0.00015805279411455555	4.6230605458210245
CXCL12	5.424442306801073	2.07376902517493	5.78508534020894	1.7427895529707757e-05	0.0007196585472365558	3.122350787036053
DPF3	5.412651924298434	-1.3294578624021822	6.387809415499651	5.099043561715452e-06	0.0002774971131646617	3.9836527832145183
ANKRD55	5.4083861731901886	-0.8274541542543742	4.375162072420856	0.0003635586626573014	0.007417964337002644	0.2903647490344756
TRP53I11	5.387445075959801	3.540429518939494	14.59381755989325	1.9830368782076813e-11	2.088063777273052e-08	15.91744631227151
1810041L15RIK	5.38514437180762	5.215770727687405	6.294729365907594	6.145638243753429e-06	0.0003246812516310253	3.91004743874179
NOTCH2	5.378158887578836	2.0881236163703307	7.6456561152513896	4.5884214404088585e-07	4.079934080783221e-05	6.515971834195203
GRIK3	5.359667046507333	3.8458257022842224	5.821687196388585	1.6152945281431595e-05	0.0006827031834271556	3.0991098731199322
DACT1	5.352577327861586	2.5735378051777364	9.72081966809993	1.354963330588173e-08	2.7388774304758697e-06	9.81215724261018
GM13306	5.335378674274248	-1.1650182286829935	5.525515495540217	3.001095547375481e-05	0.0010916770794281215	2.4713130387408198
SMPDL3B	5.3250389963831815	-2.2623362650739494	4.923716390233716	0.00010897959869710104	0.0030005347377313504	1.365497274147378
HDAC7	5.29729516414138	2.0641045547663657	5.982379975938464	1.1595066442092352e-05	0.0005202058759105908	3.506575841133917
TRPM3	5.296582800727862	4.932271472339735	8.915253369371102	4.993118410817583e-08	7.127019542177518e-06	8.74846733729736
IPCEF1	5.291731973046362	3.5984067760311143	6.57935317759145	3.485208724189569e-06	0.00020659860240441772	4.628362516722175
FAM117A	5.258444135433175	-0.6136248327056678	4.44427087941625	0.00031199404579232426	0.006653420660284428	0.42924814602394346
CDH13	5.212950769701034	3.85546704611294	8.195084756499634	1.7129861111695966e-07	1.8833587838480862e-05	7.563984480883915
STON2	5.205792685222244	3.0919217000264374	7.586082304322418	5.118026580267079e-07	4.4654438881558127e-05	6.49661448714215
ADAMTS17	5.19327724367578	1.9073640194677388	6.586562074347403	3.435982950079686e-06	0.00020405224293319944	4.638201983432275
ZDHHC22	5.187680052672179	-1.9946450423087914	4.535358026103439	0.00025514460040778426	0.005730452640214583	0.6048096824513483
ANTXR2	5.16898273813524	-0.5742317359310165	6.292293743213162	6.175829443693997e-06	0.0003252203776951091	3.8633516031241317
EDNRA	5.163902053373204	1.950882706633703	4.390820475905662	0.0003511664727215147	0.0072514985331529015	0.28248990019910103
SPINT2	5.1605998240050255	0.8639858562772421	5.6385808227714	2.366074257961934e-05	0.0009188725614691311	2.799741489322688
RREB1	5.156663716534985	4.551595694618494	8.579102825991443	8.805449223071977e-08	1.1282068484868284e-05	8.20188203854188
GALNT14	5.154348540502965	2.27876929653176	5.170364779346959	6.394043787464799e-05	0.001955712039654647	1.8835506106975615
TSPAN11	5.134531956429225	-2.253586210593174	5.284297467391086	5.00874156024225e-05	0.0016267912708235908	2.0510027855718693
CLEC9A	5.13266642038387	-1.6922425713665878	4.155567905185416	0.0005920302890184332	0.010854666887783599	-0.14367083162139682
MKI67	5.124278144005728	2.9009265674043787	6.120960209448911	8.735052562974733e-06	0.0004205230038601327	3.7688735272721194
GFRA1	5.121522978261474	4.359672029932601	4.446808445619574	0.0003102483576053359	0.006625146030123394	0.1091266902001049
PGM5	5.121072219442847	-1.3584472911760916	6.741736682497774	2.5340275631228964e-06	0.00015708074859861244	4.568792140595827
OTOF	5.091476365760947	1.1756649907844945	3.767102597805147	0.00140732520912787	0.020565779796074272	-0.9691727839192934
KIF26B	5.076384842296949	4.608322626973369	11.070616586812928	1.7898465165003053e-09	5.547501431712946e-07	12.011093856009841
GM35339	5.0735723714155645	1.1679313918623104	7.0133798911653145	1.4987593555691939e-06	0.00010377792439924223	5.317597866609155
PGR15L	5.065944106835453	-0.32969885090679146	3.0337356862653353	0.0071303435867127035	0.06658533764303536	-2.3685961983440467
ABCA8A	5.059531860257491	-0.2877336243334705	3.243016502239356	0.004506076677160517	0.0481753480228357	-1.96132865768124
CPNE4	5.0436835033840755	4.999685682751981	15.88170840342928	4.7917300584896695e-12	6.4975859593119916e-09	17.665913783384564
EGLN3	5.026500102467831	-2.2488196638852673	7.063794457943475	1.3610722842085766e-06	9.650269371957281e-05	5.145268214024162
TMEM252	4.987726200553384	-1.9291863956052102	4.98066882849276	9.630385185478197e-05	0.0027379507187592334	1.463231077536129
SLC27A3	4.985369328512313	-0.0837062868382401	6.695451583865667	2.774005298278873e-06	0.00016937566309040833	4.604122187763732
APBB1IP	4.972801055469288	-0.8420260621816763	5.465835016048289	3.404442326399917e-05	0.0012016721374225475	2.372482821511726
ADAMTS15	4.963513091110293	-0.4371230807899464	5.321863137360296	4.622720551646685e-05	0.0015273280977948194	2.1258976458275978
LYPD8	4.941919975417043	-2.631932699964931	3.9124644141937157	0.001017640317501527	0.016115857174097175	-0.6293233807235206
NHS	4.934465587281565	-0.5110873622676069	3.358052923153935	0.0034949825276729433	0.04017686731917636	-1.7282521116239868
4933415A04RIK	4.920932012424627	0.4817071500762612	4.230655948154223	0.000500989018183294	0.00954019111044887	0.006494448554004606
TRHR	4.920562833668978	1.809079764694362	3.2146020230604067	0.0047971027773739345	0.050311279301053356	-2.163117372973571
DUSP15	4.91895505178368	-0.31234313584982415	3.544994835542597	0.002308189861756428	0.02966463165459851	-1.3618986588546376
UTRN	4.915563178358351	0.37119202284230457	6.0976453000950475	9.15977001050626e-06	0.00043517599302469453	3.614755727815729
KCTD4	4.888814728272845	5.392402027753739	5.404671680106409	3.875784753166432e-05	0.001329120537482069	2.0386300724975985
MSTN	4.861163998357045	-2.0402328206826796	4.1460941474683555	0.000604643626336662	0.010999173938233832	-0.16106015467447943
GM12216	4.846485588070471	-1.7427085475601556	3.5287659851825204	0.002393011325896757	0.030421156480462525	-1.3837826416515737
SLC25A18	4.827748818289353	-2.1228766393716887	4.1483481381776635	0.000601618353247552	0.010956389305029846	-0.15618603424959865
MAPK3	4.811908767999274	5.1992637283852075	6.061001727390097	9.870823031144409e-06	0.00045630122830335744	3.435850324021513
C2CD4C	4.794800057959213	3.1475440952690814	5.070770672219442	7.92434428854857e-05	0.002319153422001121	1.6113390135524446
MACROD1	4.791874271519946	-0.4694878673156425	4.518327518329557	0.0002649123380050877	0.005896926900162499	0.5772124196878261
IGSF1	4.7894234770738375	1.6206008417499558	5.643864202386397	2.340021961301238e-05	0.0009098407969962663	2.839992412998215
ST18	4.78362250893261	4.950728512629724	5.814169822942525	1.6406728490329216e-05	0.0006907381267649081	2.95564034141338
CHST9	4.781856107890983	1.7170406548098387	4.464998242190402	0.00029802103766764855	0.006440104017168628	0.4513656043287346
4933427G17RIK	4.778297420611806	-1.9302683032726373	4.372825685592955	0.0003654452467921971	0.00745017706888658	0.2854848571686439
MOCOS	4.766562104923528	-1.6954106564636215	4.636100553202849	0.00020438635981897836	0.004845181627276272	0.797231727283493
CAR10	4.760192983275991	4.001176154695842	7.4662532986852295	6.384816612779712e-07	5.2604423252228594e-05	6.272459863092479
FRRS1	4.758244637628255	-0.18735371280094584	7.122396526773753	1.2173685305378957e-06	8.935870258924712e-05	5.289010772085742
STARD13	4.748243864184726	2.6558536098459204	6.293205453050552	6.164510281564169e-06	0.0003251504418204608	4.1092803834811
APCDD1	4.740200889071085	1.783699893350337	5.962102993732051	1.2088215077059461e-05	0.0005345093362334553	3.460569496188165
ARHGAP6	4.722308840480851	1.37686077397302	4.855449156375141	0.0001264410932581972	0.003375634896632297	1.2659522220806094
WSCD1	4.71844161694083	3.0107557808923806	7.946141557443488	2.66381623384089e-07	2.6922743948483828e-05	7.115333632302439
HIST1H4K	4.686318666354794	-2.211906112029267	3.9953501833350944	0.0008459192118632875	0.014081634184592752	-0.4601912522315299
TSHZ3	4.686258879958087	1.5148080981630676	7.209040480223548	1.0331067664573932e-06	7.800795036563666e-05	5.699668393576665
BCL2L11	4.686041412844074	0.7946360964394173	6.388061416983506	5.096474970244787e-06	0.0002774971131646617	4.178492852076015
PARVB	4.681996101583715	2.359256919750647	5.557306716875688	2.806602428437994e-05	0.0010414605476816473	2.6662389312188886
RPRM	4.678617094996447	1.6556920075211143	3.57529880698058	0.0021577059228188983	0.028246332080538308	-1.4029608069998485
TSPAN18	4.670519024034112	4.800163581500557	12.586677347953527	2.2770003218193434e-10	1.1060104249744583e-07	14.007133537254122
ADAM8	4.633478469866697	0.23401852516366245	4.102173677276077	0.0006667470437073925	0.011820959741542268	-0.25075070625177087
TGFBR3L	4.630120673853015	0.4399189982053259	5.8532934105165255	1.5129356618653382e-05	0.0006487085399175964	3.174396478045888
NT5C1A	4.623494486417582	-0.6938757108848244	4.376855518158493	0.00036219739879107127	0.007399467762872959	0.295429755140753
ST3GAL1	4.622960741184906	4.150750127827107	6.165000673375478	7.987332139749088e-06	0.00039147550776505165	3.764584996770962
NGB	4.611856242439887	-1.059045035203472	4.136521430820935	0.0006176635672007716	0.011186000629372236	-0.1814771040172527
RASGRF2	4.610705309727523	5.2081452183316665	9.541114493169134	1.8007045612503965e-08	3.3945244671415136e-06	9.750126768945623
GM8412	4.5977035526810335	-1.1383603483879223	3.9463603140019177	0.0009435516798650987	0.015277087497278493	-0.5573273854583283
PALD1	4.570416386144274	0.1907414172436177	4.212293243799842	0.0005218589180562304	0.009811309433403791	-0.027947442630507524
SHISA9	4.5676133487236985	6.187950411822663	5.687494080634251	2.1358393928645632e-05	0.0008497403080853832	2.5426090822706726
RCAN3	4.53928473568918	1.763779386449416	7.008278504006466	1.5134743998071817e-06	0.00010457433305164528	5.382510718838376
RHOC	4.536385192264456	-2.3734317662263815	5.284806581457782	5.003295106035842e-05	0.0016266457135947097	2.05876521825809
SYNPO2	4.532030036242742	1.3571326837424251	5.817705105402554	1.628687164940334e-05	0.0006874707535125582	3.1668790897851675
CSF1	4.527754453955698	1.8830592063007634	3.4088659313004106	0.00312292165500443	0.03701706787425838	-1.7711271829105018
MS4A4C	4.52642255825962	-1.6503481125670754	4.949109031172623	0.0001031301199583335	0.0028809155570163137	1.3984120088265142
SLC16A11	4.521827795511275	0.889491429727522	6.1835189758851525	7.692955059218e-06	0.00038110331009821944	3.8184278495405533
ZFP57	4.515219598673782	0.308994409861905	3.1086248689332012	0.0060539247044573774	0.059606737333103475	-2.252697178149808
ADCY10	4.505308510132032	-0.30695177958960873	6.833256129427842	2.120718090340214e-06	0.00013612751386988544	4.8023996443522226
ATP6V1C2	4.503077269457494	-0.41505258549447005	6.102043206524063	9.078055305907439e-06	0.0004325567084560054	3.5469194454247592
GM9234	4.488196292075893	-1.7764631168815745	4.94282945164324	0.00010454620752727974	0.0029079929724511043	1.3880083095831717
TTC28	4.477183721037789	1.0484585005007	5.73128744219845	1.949264005858207e-05	0.0007851095025575431	2.9863980285193588
GM10118	4.439893126736953	0.6304632338281555	5.387729753130174	4.017827127189105e-05	0.0013720479121431504	2.3073909521807767
NAPEPLD	4.427505149293003	5.244080601155186	10.722209869032422	2.9637777246350657e-09	8.037765189210297e-07	11.534125933547017
XKRX	4.421392752161642	-1.6595687527158374	4.741691627358101	0.00016212030250581635	0.004061619033679205	1.0010820781690892
STC1	4.402160580337239	2.9485063390945463	7.014936580539831	1.4942986627243456e-06	0.00010368967095885097	5.467179641517207
HBA-A2	4.397399773915802	-2.542618848402661	4.660449504543919	0.00019373894555490336	0.004660044526340558	0.8622074956722017
TEX15	4.384121482279944	0.7492200424886376	4.197435480755016	0.0005393852925584941	0.010094166165050968	-0.06590327890856695
ADARB2	4.3600900912493445	3.980240581275546	14.060597452159444	3.685116858694011e-11	3.1560116591931025e-08	15.539246620506866
OPN4	4.35930125100519	-1.7601240041155395	5.358051001839038	4.279654492958445e-05	0.0014446650199115337	2.1681380645867776
CDH9	4.352446654913914	5.100625921351991	15.794645223096772	5.2577416896831505e-12	6.844317821961938e-09	17.600673383717503
DNAH5	4.331319713205788	1.7362302933526976	4.265960952532788	0.00046319817882539704	0.008967472654190197	0.03493747728737606
PRRT4	4.325497565047537	-2.323833743070505	4.003469566623512	0.0008307463834595616	0.013905486603285973	-0.44427814420351286
MT2	4.323533793689009	0.8794825339459545	4.840390301148818	0.00013066227155404304	0.0034627630011846715	1.2369712496335614
CSRP2	4.3120116711952114	-0.02480864302897713	3.9139349800042162	0.0010143082379091444	0.016078737113743396	-0.6273169277805062
STRA6	4.307689078337873	0.7354293451028293	3.892126358970761	0.0010648632785269423	0.016669028637027804	-0.6905526577813577
PHGDH	4.306899227125421	-1.9117027511507085	4.089958712660762	0.0006851328269736797	0.012065456017874152	-0.272730551574659
PPP1R3B	4.304249524470715	-2.385664044568519	3.5966273792785994	0.0020576698119201013	0.027221465999645436	-1.2576895728732982
MYLK3	4.299370803220127	-2.2984669184390896	4.385390652567528	0.00035541454303342386	0.007320639802835282	0.31495234509418424
SLC6A1	4.299033063720099	3.7348232320941213	7.116076956792158	1.2320777195991826e-06	8.962265292202625e-05	5.639693325813417
GM1604A	4.298367581582139	0.5738364097340194	3.409674408005892	0.0031173294367086313	0.0369986758527519	-1.6660044103185099
CHRDL1	4.289123850030883	-1.99012910780442	3.9392248215663686	0.0009586853806921858	0.015452925720280581	-0.5714977132672976
CALD1	4.2870527311602995	3.4950972948459262	8.403361972716393	1.1912375076307894e-07	1.4285117613754717e-05	7.909233386319585
MICALL1	4.2727867347737005	2.7668874401363053	6.456849262622244	4.442994717359733e-06	0.00025114186167190193	4.422116329070805
GHR	4.272478656698447	2.3145871236700195	4.782473197636871	0.00014828007629655375	0.003813467804930678	1.0780948814484486
SCN9A	4.264876396203758	2.1851904854106365	2.9106026834241794	0.0093165163845951	0.08003859242004738	-2.8266891418029227
COBLL1	4.2579916467884065	0.9173947726890301	4.35615005119601	0.00037920107236344956	0.007640575780407336	0.2549688441947433
CDKN1C	4.255088672706362	-2.6267916177940207	3.3256882328143593	0.003754388548160591	0.04214654050063411	-1.8045405063636775
INHA	4.248236580347116	1.579531894098178	6.1404680941587895	8.395315839217276e-06	0.00040778680398729405	3.79006701002851
AMOTL1	4.247641389685933	1.7625491448948956	7.121354401262798	1.21978153912288e-06	8.935870258924712e-05	5.579925423109774
VWA3B	4.243103983063938	2.4433769131400958	8.64796544509586	7.83039120198189e-08	1.027549400311688e-05	8.191297783329334
PAPPA	4.242547307719055	-1.161023107021702	4.6021664804629925	0.00022022453895976406	0.005124089553021782	0.7300716419528399
