gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
PROX1	13.876408846779468	3.643126062077503	10.811670018825062	2.60077107294217e-09	7.296508086019827e-07	11.551588308913114
IGFBP5	10.655409989343998	4.044413170433971	6.02494396409097	1.0626178567164323e-05	0.00048298652973435157	3.4926113303510586
C1QL2	10.00969087392313	1.0010774090350623	14.536637707043418	2.1173213080755507e-11	2.088063777273052e-08	14.128874679167318
DSP	9.99592353803774	0.8950098900941879	10.403023303529695	4.755594679779331e-09	1.1997370020057252e-06	10.11178646188782
STXBP6	9.664499945660008	3.872359845041705	11.969998613518637	5.13806599760042e-10	2.0391856076330253e-07	13.103358819519222
MFSD2A	9.315130745107954	-0.6966044319785563	13.53344227492097	6.935708179310799e-11	4.61439683796657e-08	12.30255174481071
NTF3	9.127282525159217	-0.7658566242068431	13.381682443337354	8.352306372111038e-11	5.12863129384871e-08	12.160114797416787
GMNC	8.630776699219503	0.129616685302122	11.549756780513704	9.119871104867329e-10	3.1574158003915146e-07	11.004909164463161
SLC4A4	8.534413396791006	3.766471064968176	21.18461022221202	3.423838338877378e-14	2.2285078980085078e-10	21.231743731011534
SPSB1	8.388090039287626	0.37422447825821653	8.743530795363828	6.66003861851385e-08	8.957336451360794e-06	7.816933318633231
TRPC6	8.343588155687279	1.2029277073302755	10.442628565586881	4.48201989725071e-09	1.1576417106041834e-06	10.287959068314965
GAD1	8.199212328293314	1.9242749762531108	6.868249134710236	1.981738997258956e-06	0.00012924591969297689	5.149686788415634
ZFP536	8.198483178799755	1.0421089375018127	13.798528271301803	5.033713048818235e-11	3.9955404258717226e-08	13.570704229894385
GLIS3	8.11702515913472	1.9370518470121068	16.474942578501857	2.57565929832937e-12	4.389050483499895e-09	16.357729209557235
ANO2	8.024747058129678	0.1685889535978343	8.001971903818333	2.4109892611033295e-07	2.487914513167553e-05	6.708655500047589
NPNT	8.013473285479726	2.8037470319804583	7.446389561257235	6.624461392182761e-07	5.4031697129623e-05	6.238671020009727
BEST3	7.96909212293777	-0.09496385483100207	9.264884711167134	2.8083616588850282e-08	4.524520882512592e-06	8.368009247925139
SEMA5A	7.965379378416127	5.719743058954958	20.141246016929145	8.21873810744214e-14	3.8210087566942427e-10	21.541241166708737
SCNN1A	7.84431658257823	-0.19305908546369852	8.878477682388521	5.3092343363767415e-08	7.447574234613995e-06	7.842237289052826
HTRA4	7.768877729252225	-0.22431969621735784	9.532295896574219	1.826185584172497e-08	3.399703200332503e-06	8.659815962820762
SYNPR	7.654093657157384	4.032453081116785	15.336699998247669	8.63076441844183e-12	1.040294804569522e-08	16.850609004221425
PLEKHA2	7.650646830283675	2.5897230334784838	14.70938918429929	1.738219962211236e-11	2.0203082303643734e-08	15.479225437507441
ERBB2IP	7.5896853807133215	1.462486926009117	7.461455570441213	6.441860976173001e-07	5.294038474963994e-05	6.116856353535384
PLK5	7.565049450166141	0.14680687504180231	8.74840394787022	6.60548613936703e-08	8.957039204981693e-06	7.760665459616173
EPB41	7.502269050407625	0.8581754122766432	9.769728246951741	1.2548359517168388e-08	2.5846443805489115e-06	9.323482502852317
PXDC1	7.4480108668688985	-0.47466918531092667	10.239004636565046	6.088802374283872e-09	1.446379448676601e-06	9.399440435437974
PARVG	7.438407584065936	0.38932338653747417	7.507696119954934	5.913388148799888e-07	4.986373351021174e-05	6.000235830967023
PDE7B	7.363227502411819	3.587064530526427	6.081880371890718	9.458975417951215e-06	0.00044484522543613344	3.6500224764979556
PTCHD4	7.3210232279507	1.5906055027657469	14.167913656572406	3.24789588836331e-11	2.8567438862404204e-08	14.280839857917538
FAM160A1	7.239677892189999	1.7128574899120301	10.07652670687391	7.799798387089374e-09	1.7463285781170284e-06	10.030224663174653
LRTM2	7.181964894803289	3.234273525072673	10.007349523747521	8.67465911255054e-09	1.8946852762338577e-06	10.359649802562314
NEK10	7.166212330021436	-1.5689918006229158	7.7681376754778375	3.6709215208433654e-07	3.432405368833443e-05	6.148863816918715
