"ENSMUSG"
"156","ENSMUSG00000029505.17"
"157","ENSMUSG00000026615.14"
"158","ENSMUSG00000018166.8"
"159","ENSMUSG00000062209.15"
"160","ENSMUSG00000040732.18"
"161","ENSMUSG00000022895.14"
"162","ENSMUSG00000039903.16"
"163","ENSMUSG00000021280.8"
"164","ENSMUSG00000009216.7"
"165","ENSMUSG00000061111.8"
"166","ENSMUSG00000050141.13"
"167","ENSMUSG00000025854.15"
"168","ENSMUSG00000048458.8"
"169","ENSMUSG00000024187.14"
"170","ENSMUSG00000078235.3"
"171","ENSMUSG00000030956.15"
"172","ENSMUSG00000034300.16"
"173","ENSMUSG00000079043.2"
"174","ENSMUSG00000035329.7"
"175","ENSMUSG00000042826.13"
"176","ENSMUSG00000040242.14"
"177","ENSMUSG00000026193.15"
"178","ENSMUSG00000039253.7"
"179","ENSMUSG00000001334.9"
"180","ENSMUSG00000021250.13"
"181","ENSMUSG00000003154.15"
"182","ENSMUSG00000052135.8"
"183","ENSMUSG00000048285.8"
"184","ENSMUSG00000042425.18"
"185","ENSMUSG00000033386.10"
"186","ENSMUSG00000036264.9"
"187","ENSMUSG00000066705.6"
"188","ENSMUSG00000018583.5"
"189","ENSMUSG00000038766.16"
"190","ENSMUSG00000031343.13"
"191","ENSMUSG00000026787.3"
"192","ENSMUSG00000015027.11"
"193","ENSMUSG00000033316.14"
"194","ENSMUSG00000015619.10"
"195","ENSMUSG00000027865.10"
"196","ENSMUSG00000011877.13"
"197","ENSMUSG00000019715.14"
"198","ENSMUSG00000052942.13"
"199","ENSMUSG00000031068.8"
"200","ENSMUSG00000021102.3"
"201","ENSMUSG00000068240.5"
"202","ENSMUSG00000087006.3"
"203","ENSMUSG00000078877.11"
"204","ENSMUSG00000078878.9"
"205","ENSMUSG00000078197.2"
"206","ENSMUSG00000091228.1"
"207","ENSMUSG00000029720.9"
"208","ENSMUSG00000093593.1"
"209","ENSMUSG00000093752.1"
"210","ENSMUSG00000094472.1"
"211","ENSMUSG00000000594.7"
"212","ENSMUSG00000109179.1"
"213","ENSMUSG00000105340.4"
"214","ENSMUSG00000042532.14"
"215","ENSMUSG00000031672.8"
"216","ENSMUSG00000031119.4"
"217","ENSMUSG00000040125.4"
"218","ENSMUSG00000008734.9"
"219","ENSMUSG00000074934.3"
"220","ENSMUSG00000002771.12"
"221","ENSMUSG00000030098.15"
"222","ENSMUSG00000023192.12"
"223","ENSMUSG00000026879.14"
"224","ENSMUSG00000032348.5"
"225","ENSMUSG00000020962.13"
"226","ENSMUSG00000020444.19"
"227","ENSMUSG00000021730.8"
"228","ENSMUSG00000034245.10"
"229","ENSMUSG00000026313.16"
"230","ENSMUSG00000022475.18"
"231","ENSMUSG00000075254.11"
"232","ENSMUSG00000020064.8"
"233","ENSMUSG00000037260.8"
"234","ENSMUSG00000003949.16"
"235","ENSMUSG00000028785.12"
"236","ENSMUSG00000027615.14"
"237","ENSMUSG00000025499.18"
"238","ENSMUSG00000037406.7"
"239","ENSMUSG00000009828.15"
"240","ENSMUSG00000064215.13"
"241","ENSMUSG00000040972.8"
"242","ENSMUSG00000042035.11"
"243","ENSMUSG00000026072.12"
"244","ENSMUSG00000021756.12"
"245","ENSMUSG00000040865.15"
"246","ENSMUSG00000035161.6"
"247","ENSMUSG00000027087.11"
"248","ENSMUSG00000022817.14"
"249","ENSMUSG00000031239.5"
"250","ENSMUSG00000002799.5"
"251","ENSMUSG00000028931.11"
"252","ENSMUSG00000027895.9"
"253","ENSMUSG00000038319.14"
"254","ENSMUSG00000041695.2"
"255","ENSMUSG00000032036.15"
"256","ENSMUSG00000052040.10"
"257","ENSMUSG00000029775.14"
"258","ENSMUSG00000054792.15"
"259","ENSMUSG00000044938.8"
"260","ENSMUSG00000064023.4"
"261","ENSMUSG00000109764.1"
"262","ENSMUSG00000031640.10"
"263","ENSMUSG00000039648.14"
"264","ENSMUSG00000022257.3"
"265","ENSMUSG00000028581.17"
"266","ENSMUSG00000004383.18"
"267","ENSMUSG00000038366.15"
"268","ENSMUSG00000021959.15"
"269","ENSMUSG00000026354.8"
"270","ENSMUSG00000031513.8"
"271","ENSMUSG00000021190.14"
"272","ENSMUSG00000029674.13"
"273","ENSMUSG00000049556.5"
"274","ENSMUSG00000045083.14"
"275","ENSMUSG00000028266.17"
"276","ENSMUSG00000021608.14"
"277","ENSMUSG00000072754.9"
"278","ENSMUSG00000021338.17"
"279","ENSMUSG00000033707.8"
"280","ENSMUSG00000047766.15"
"281","ENSMUSG00000026443.3"
"282","ENSMUSG00000052581.13"
"283","ENSMUSG00000033105.12"
"284","ENSMUSG00000028701.4"
"285","ENSMUSG00000022587.14"
"286","ENSMUSG00000022577.16"
"287","ENSMUSG00000022594.14"
"288","ENSMUSG00000035342.13"
"289","ENSMUSG00000031227.8"
"290","ENSMUSG00000045095.16"
"291","ENSMUSG00000004054.8"
"292","ENSMUSG00000053693.16"
"293","ENSMUSG00000022324.14"
"294","ENSMUSG00000050164.10"
"295","ENSMUSG00000032418.15"
"296","ENSMUSG00000002768.7"
"297","ENSMUSG00000005583.16"
"298","ENSMUSG00000001419.17"
"299","ENSMUSG00000027210.20"
"300","ENSMUSG00000020346.16"
"301","ENSMUSG00000008035.12"
"302","ENSMUSG00000020827.18"
"303","ENSMUSG00000024896.8"
"304","ENSMUSG00000042447.13"
"305","ENSMUSG00000031004.8"
"306","ENSMUSG00000009569.14"
"307","ENSMUSG00000021245.14"
"308","ENSMUSG00000074064.6"
"309","ENSMUSG00000028226.15"
"310","ENSMUSG00000006262.15"
"311","ENSMUSG00000049670.8"
"312","ENSMUSG00000002227.15"
"313","ENSMUSG00000064036.15"
"314","ENSMUSG00000024902.4"
"315","ENSMUSG00000026087.11"
"316","ENSMUSG00000023094.14"
"317","ENSMUSG00000024012.17"
"318","ENSMUSG00000038065.13"
"319","ENSMUSG00000073616.10"
"320","ENSMUSG00000024048.14"
"321","ENSMUSG00000033577.18"
"322","ENSMUSG00000044968.16"
"323","ENSMUSG00000041120.6"
"324","ENSMUSG00000022774.12"
"325","ENSMUSG00000024425.3"
"326","ENSMUSG00000023089.12"
"327","ENSMUSG00000059734.6"
"328","ENSMUSG00000020396.8"
"329","ENSMUSG00000022054.11"
"330","ENSMUSG00000021215.14"
"331","ENSMUSG00000037984.9"
"332","ENSMUSG00000028565.18"
"333","ENSMUSG00000035356.16"
"334","ENSMUSG00000030452.16"
"335","ENSMUSG00000022141.6"
"336","ENSMUSG00000078532.9"
"337","ENSMUSG00000044149.6"
"338","ENSMUSG00000041309.17"
"339","ENSMUSG00000037362.8"
"340","ENSMUSG00000015094.16"
"341","ENSMUSG00000020090.7"
"342","ENSMUSG00000040998.18"
"343","ENSMUSG00000060601.13"
"344","ENSMUSG00000042834.14"
"345","ENSMUSG00000060275.11"
"346","ENSMUSG00000020032.14"
"347","ENSMUSG00000022516.9"
"348","ENSMUSG00000037857.16"
"349","ENSMUSG00000029153.11"
"350","ENSMUSG00000040586.8"
"351","ENSMUSG00000021913.7"
"352","ENSMUSG00000041084.8"
"353","ENSMUSG00000021203.15"
"354","ENSMUSG00000016664.14"
"355","ENSMUSG00000029247.17"
"356","ENSMUSG00000089945.12"
"357","ENSMUSG00000036422.10"
"358","ENSMUSG00000051242.1"
"359","ENSMUSG00000103897.1"
"360","ENSMUSG00000023036.14"
"361","ENSMUSG00000060212.13"
"362","ENSMUSG00000039278.10"
"363","ENSMUSG00000005615.14"
"364","ENSMUSG00000022489.5"
"365","ENSMUSG00000030653.17"
"366","ENSMUSG00000110195.1"
"367","ENSMUSG00000026239.14"
"368","ENSMUSG00000031299.10"
"369","ENSMUSG00000027400.11"
"370","ENSMUSG00000055866.9"
"371","ENSMUSG00000027805.16"
"372","ENSMUSG00000027525.17"
"373","ENSMUSG00000029629.16"
"374","ENSMUSG00000045625.4"
"375","ENSMUSG00000028669.15"
"376","ENSMUSG00000029406.15"
"377","ENSMUSG00000021193.9"
"378","ENSMUSG00000027499.12"
"379","ENSMUSG00000060675.13"
"380","ENSMUSG00000003363.15"
"381","ENSMUSG00000031557.16"
"382","ENSMUSG00000030701.17"
"383","ENSMUSG00000060716.6"
"384","ENSMUSG00000035486.14"
"385","ENSMUSG00000016382.15"
"386","ENSMUSG00000074785.4"
"387","ENSMUSG00000036257.14"
"388","ENSMUSG00000035834.11"
"389","ENSMUSG00000039457.3"
"390","ENSMUSG00000046442.4"
"391","ENSMUSG00000007564.14"
"392","ENSMUSG00000022052.8"
"393","ENSMUSG00000029913.14"
"394","ENSMUSG00000005161.15"
"395","ENSMUSG00000024953.16"
"396","ENSMUSG00000078816.9"
"397","ENSMUSG00000010175.13"
"398","ENSMUSG00000024735.13"
"399","ENSMUSG00000027881.14"
"400","ENSMUSG00000031432.3"
"401","ENSMUSG00000036030.9"
"402","ENSMUSG00000039126.9"
"403","ENSMUSG00000026730.12"
"404","ENSMUSG00000021745.13"
"405","ENSMUSG00000056553.14"
"406","ENSMUSG00000021700.9"
"407","ENSMUSG00000022246.13"
"408","ENSMUSG00000003226.6"
"409","ENSMUSG00000022391.15"
"410","ENSMUSG00000049044.16"
"411","ENSMUSG00000029602.11"
"412","ENSMUSG00000030134.11"
"413","ENSMUSG00000030259.12"
"414","ENSMUSG00000035275.14"
"415","ENSMUSG00000026439.14"
"416","ENSMUSG00000036733.16"
"417","ENSMUSG00000022400.8"
"418","ENSMUSG00000075376.10"
"419","ENSMUSG00000032050.16"
"420","ENSMUSG00000042453.14"
"421","ENSMUSG00000052406.14"
"422","ENSMUSG00000020696.18"
"423","ENSMUSG00000025978.14"
"424","ENSMUSG00000040929.16"
"425","ENSMUSG00000030844.11"
"426","ENSMUSG00000038530.11"
"427","ENSMUSG00000021219.16"
"428","ENSMUSG00000032890.17"
"429","ENSMUSG00000035226.5"
"430","ENSMUSG00000024404.6"
"431","ENSMUSG00000013878.18"
"432","ENSMUSG00000109850.1"
"433","ENSMUSG00000022280.8"
"434","ENSMUSG00000063760.9"
"435","ENSMUSG00000028677.18"
"436","ENSMUSG00000025373.13"
"437","ENSMUSG00000032128.14"
"438","ENSMUSG00000058443.4"
"439","ENSMUSG00000071415.6"
"440","ENSMUSG00000079435.9"
"441","ENSMUSG00000067038.5"
"442","ENSMUSG00000020458.16"
"443","ENSMUSG00000041263.14"
"444","ENSMUSG00000030592.17"
"445","ENSMUSG00000049532.10"
"446","ENSMUSG00000021770.10"
"447","ENSMUSG00000046229.9"
"448","ENSMUSG00000019194.15"
"449","ENSMUSG00000016763.14"
"450","ENSMUSG00000029076.14"
"451","ENSMUSG00000027429.16"
"452","ENSMUSG00000029189.10"
"453","ENSMUSG00000022231.9"
"454","ENSMUSG00000019647.16"
"455","ENSMUSG00000038777.19"
"456","ENSMUSG00000041571.9"
"457","ENSMUSG00000021091.8"
"458","ENSMUSG00000040848.11"
"459","ENSMUSG00000036206.12"
"460","ENSMUSG00000028488.15"
"461","ENSMUSG00000031642.9"
"462","ENSMUSG00000042626.13"
"463","ENSMUSG00000025647.16"
"464","ENSMUSG00000089832.8"
"465","ENSMUSG00000051504.18"
"466","ENSMUSG00000001995.9"
